pl_id,segment,head,margin,opp_speed_lim,arc_type,comment
0,173,132,0.05,80,APPR1,Harristown appr NB
0,170,131,0.05,60,APPR0,Harristown appr SB
0,171,131,0.05,0,ML1,Harristown ML NB
0,171,132,0.05,0,ML0,Harristown ML SB
0,172,131,0.05,20,S1,Harristown siding NB
0,172,132,0.05,20,S0,Harristown siding SB
1,160,120,0.05,80,APPR1,Gowrie appr EB
1,157,119,0.05,80,APPR0,Gowrie appr WB
1,159,119,0.05,0,ML1,Gowrie ML EB
1,159,120,0.05,0,ML0,Gowrie ML WB
1,158,119,0.05,20,S1,Gowrie siding EB
1,158,120,0.05,20,S0,Gowrie siding WB
2,27,21,0.05,40,APPR1,Rangeview appr NB
2,24,20,0.05,40,APPR0,Rangeview appr SB
2,26,20,0.05,0,ML1,Rangeview ML NB
2,26,21,0.05,0,ML0,Rangeview ML SB
2,25,20,0.05,20,S1,Rangeview siding NB
2,25,21,0.05,20,S0,Rangeview siding SB
3,24,19,0.05,40,APPR1,SpringBluff appr EB
3,20,17,0.05,40,APPR0,SpringBluff appr WB
3,23,17,0.05,0,ML1,SpringBluff ML EB
3,23,19,0.05,0,ML0,SpringBluff ML WB
3,21,17,0.05,20,S1,SpringBluff siding EB
3,22,19,0.05,20,S0,SpringBluff siding WB
4,20,16,0.05,40,APPR1,Holmes appr EB
4,17,15,0.05,40,APPR0,Holmes appr WB
4,19,15,0.05,0,ML1,Holmes ML EB
4,19,16,0.05,0,ML0,Holmes ML WB
4,18,15,0.05,20,S1,Holmes siding EB
4,18,16,0.05,20,S0,Holmes siding WB
5,17,14,0.05,40,APPR1,MurphysCk appr EB
5,15,13,0.05,40,APPR0,MurphysCk appr WB
5,218,13,0.05,0,ML1,MurphysCk ML EB
5,216,14,0.05,0,ML0,MurphysCk ML WB
5,16,13,0.05,20,S1,MurphysCk siding EB
5,16,14,0.05,20,S0,MurphysCk siding WB
6,4,3,0.05,40,APPR1,Lockyer appr NB
6,15,2,0.05,40,APPR0,Lockyer appr SB
6,2,2,0.05,0,ML1,Lockyer ML NB
6,2,3,0.05,0,ML0,Lockyer ML SB
6,1,2,0.05,20,S1,Lockyer siding NB
6,3,3,0.05,20,S0,Lockyer siding SB
