id,segment,head,reachable
0,15,13,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
1,4,4,exit_to_Brisbane
2,11,10,exit_to_Brisbane
2,10,8,exit_to_Brisbane
2,9,9,exit_to_Brisbane
3,2,2,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
4,3,1,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
4,1,2,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
5,4,3,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
6,7,6,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
6,6,5,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
6,5,4,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
7,16,14,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
8,218,171,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
8,216,14,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
9,1,1,exit_to_Brisbane
9,3,3,exit_to_Brisbane
10,2,3,exit_to_Brisbane
11,17,15,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
12,15,2,exit_to_Brisbane
13,18,16,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
14,19,16,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
15,16,13,exit_to_Brisbane
16,216,171,exit_to_Brisbane
16,218,13,exit_to_Brisbane
17,20,17,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
18,17,14,exit_to_Brisbane
19,21,18,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
19,22,19,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
20,23,19,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
21,18,15,exit_to_Brisbane
22,19,15,exit_to_Brisbane
23,20,16,exit_to_Brisbane
24,24,20,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
25,25,21,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
26,26,21,TmbaStn_south,Willowburn_north,Wyreema_exit,Gowrie_exit
27,22,18,exit_to_Brisbane
27,21,17,exit_to_Brisbane
28,23,17,exit_to_Brisbane
29,27,22,Wyreema_exit
29,28,23,Wyreema_exit
29,29,24,Wyreema_exit
29,30,25,Wyreema_exit
29,189,147,Wyreema_exit
29,188,146,Wyreema_exit
30,27,22,TmbaStn_south
30,28,23,TmbaStn_south
30,29,24,TmbaStn_south
30,30,25,TmbaStn_south
30,189,147,TmbaStn_south
30,190,125,TmbaStn_south
30,165,126,TmbaStn_south
30,167,128,TmbaStn_south
31,27,22,Wyreema_exit
31,28,23,Wyreema_exit
31,29,24,Wyreema_exit
31,206,148,Wyreema_exit
31,191,146,Wyreema_exit
32,27,22,Gowrie_exit
32,28,23,Gowrie_exit
32,33,27,Gowrie_exit
32,34,28,Gowrie_exit
32,35,29,Gowrie_exit
33,27,22,Willowburn_north
33,28,23,Willowburn_north
33,33,27,Willowburn_north
33,34,28,Willowburn_north
33,143,111,Willowburn_north
33,144,109,Willowburn_north
34,24,19,exit_to_Brisbane
35,25,20,exit_to_Brisbane
36,26,20,exit_to_Brisbane
37,29,23,exit_to_Brisbane
37,28,22,exit_to_Brisbane
37,27,21,exit_to_Brisbane
38,32,27,Gowrie_exit
38,34,28,Gowrie_exit
38,35,29,Gowrie_exit
39,32,27,Willowburn_north
39,34,28,Willowburn_north
39,143,111,Willowburn_north
39,144,109,Willowburn_north
40,157,119,Gowrie_exit
41,34,27,Wyreema_exit
41,32,26,Wyreema_exit
41,31,25,Wyreema_exit
41,189,147,Wyreema_exit
41,188,146,Wyreema_exit
42,34,27,TmbaStn_south
42,32,26,TmbaStn_south
42,31,25,TmbaStn_south
42,189,147,TmbaStn_south
42,190,125,TmbaStn_south
42,165,126,TmbaStn_south
42,167,128,TmbaStn_south
43,34,27,exit_to_Brisbane
43,33,23,exit_to_Brisbane
43,28,22,exit_to_Brisbane
43,27,21,exit_to_Brisbane
44,42,35,Wyreema_exit
44,48,40,Wyreema_exit
44,49,41,Wyreema_exit
44,50,42,Wyreema_exit
44,140,109,Wyreema_exit
44,144,111,Wyreema_exit
44,143,28,Wyreema_exit
44,34,27,Wyreema_exit
44,32,26,Wyreema_exit
44,31,25,Wyreema_exit
44,189,147,Wyreema_exit
44,188,146,Wyreema_exit
45,42,35,TmbaStn_south
45,48,40,TmbaStn_south
45,49,41,TmbaStn_south
45,50,42,TmbaStn_south
45,140,109,TmbaStn_south
45,144,111,TmbaStn_south
45,143,28,TmbaStn_south
45,34,27,TmbaStn_south
45,32,26,TmbaStn_south
45,31,25,TmbaStn_south
45,189,147,TmbaStn_south
45,190,125,TmbaStn_south
45,165,126,TmbaStn_south
45,167,128,TmbaStn_south
46,42,35,exit_to_Brisbane
46,48,40,exit_to_Brisbane
46,49,41,exit_to_Brisbane
46,50,42,exit_to_Brisbane
46,140,109,exit_to_Brisbane
46,144,111,exit_to_Brisbane
46,143,28,exit_to_Brisbane
46,34,27,exit_to_Brisbane
46,33,23,exit_to_Brisbane
46,28,22,exit_to_Brisbane
46,27,21,exit_to_Brisbane
47,39,32,Gowrie_exit
47,38,31,Gowrie_exit
47,37,30,Gowrie_exit
47,36,29,Gowrie_exit
47,157,119,Gowrie_exit
48,140,42,Willowburn_north
48,50,41,Willowburn_north
48,49,40,Willowburn_north
48,48,35,Willowburn_north
48,42,34,Willowburn_north
48,41,33,Willowburn_north
49,158,120,Gowrie_exit
50,159,120,Gowrie_exit
51,160,121,Gowrie_exit
52,157,29,TmbaStn_south,exit_to_Brisbane,Wyreema_exit
52,35,28,TmbaStn_south,exit_to_Brisbane,Wyreema_exit
53,157,29,Willowburn_south
53,36,30,Willowburn_south
53,37,31,Willowburn_south
53,38,32,Willowburn_south
53,39,33,Willowburn_south
53,40,34,Willowburn_south
54,222,174,Gowrie_exit
55,158,119,TmbaStn_south,Willowburn_south,exit_to_Brisbane,Wyreema_exit
56,159,119,TmbaStn_south,Willowburn_south,exit_to_Brisbane,Wyreema_exit
57,161,26,Gowrie_exit
57,32,27,Gowrie_exit
57,34,28,Gowrie_exit
57,35,29,Gowrie_exit
58,161,26,Willowburn_north
58,32,27,Willowburn_north
58,34,28,Willowburn_north
58,143,111,Willowburn_north
58,144,109,Willowburn_north
59,169,130,Wyreema_exit
59,170,131,Wyreema_exit
60,165,125,Willowburn_north,Gowrie_exit
60,164,124,Willowburn_north,Gowrie_exit
60,163,123,Willowburn_north,Gowrie_exit
60,162,122,Willowburn_north,Gowrie_exit
61,165,125,exit_to_Brisbane
61,190,147,exit_to_Brisbane
61,189,25,exit_to_Brisbane
61,30,24,exit_to_Brisbane
62,165,125,Willowburn_north,Gowrie_exit
62,190,147,Willowburn_north,Gowrie_exit
62,189,25,Willowburn_north,Gowrie_exit
62,31,26,Willowburn_north,Gowrie_exit
63,171,132,Wyreema_exit
64,172,132,Wyreema_exit
