Tmax,rep,run_t,train_ctr
95886,0,57.618998,401578
42687,1,15.825628,179727
21632,2,8.103989,90672
83218,3,33.599619,348638
10701,4,4.084380,44810
69669,5,26.976044,292004
55625,6,21.929648,233561
50190,7,18.993208,210601
70138,8,28.718095,294284
91975,9,37.637869,386844
51310,10,23.874635,216111
2054,11,0.757115,8494
53459,12,21.868491,224851
81546,13,33.851142,342574
23608,14,9.431943,98952
23626,15,9.335418,99024
64711,16,27.066446,272207
51484,17,20.382613,215496
38562,18,18.860407,162469
58579,19,23.770838,246066
48725,20,19.522775,204417
57786,21,24.130412,242651
73990,22,32.604275,309583
53318,23,22.761407,225170
29805,24,11.994306,125432
97674,25,41.075237,410142
8745,26,3.486908,36590
13481,27,5.357387,56588
77653,28,30.784338,325682
4813,29,1.874306,20062
29568,30,14.579524,124112
49863,31,20.547720,209461
62156,32,29.340864,261716
19971,33,8.657739,83334
13171,34,5.228716,55068
41295,35,16.807846,172947
86961,36,35.245532,366022
56742,37,22.548185,237951
84637,38,38.049536,355654
46107,39,31.532108,193676
64049,40,26.148535,268604
33245,41,13.240436,139211
45303,42,19.926152,190635
89069,43,39.262607,373879
46790,44,20.656014,196332
78464,45,35.123620,329582
31245,46,12.916693,131504
38469,47,19.239102,161865
97489,48,40.008823,410055
57912,49,24.686475,243460
88092,50,43.122594,369443
87197,51,42.423021,365693
23336,52,10.691732,97974
22120,53,9.998472,93106
45882,54,22.384420,192734
55162,55,23.115642,231867
57854,56,23.330416,243188
35325,57,14.381694,148532
15048,58,6.077255,63274
26642,59,10.992043,111966
87316,60,35.809529,367981
56781,61,23.650221,238362
75712,62,31.471739,318000
35682,63,14.434428,149570
15738,64,6.278004,65878
41799,65,17.114332,176164
32146,66,13.807951,135278
70990,67,30.152652,298455
33485,68,16.571351,140320
82237,69,33.830394,346201
60928,70,25.724489,256115
13333,71,6.016326,55556
31848,72,13.453615,133251
61283,73,30.992484,257508
11400,74,6.106539,48161
62349,75,32.697825,262332
2672,76,2.432692,11378
5427,77,2.681332,22757
45345,78,19.811001,191214
37847,79,15.787468,158950
61380,80,25.914660,257950
35269,81,18.136669,147890
50441,82,21.413258,211768
8719,83,3.667915,36534
92692,84,41.695923,389689
40056,85,17.889686,168542
42903,86,17.722444,180432
54945,87,23.945453,231523
34252,88,16.368427,143956
22211,89,9.807479,93709
88237,90,39.260486,370782
8613,91,3.761114,36154
38161,92,16.176195,160079
68237,93,28.866064,286847
9679,94,4.634042,40657
68180,95,29.981310,286931
27250,96,13.269295,114225
44573,97,20.294577,187786
80185,98,37.073733,335547
14646,99,6.023197,61532
