Tmax,rep,run_t,train_ctr
75020,0,37.968018,314650
5538,1,2.685427,22903
28118,2,13.935040,117996
76234,3,37.995418,320364
55088,4,27.179810,231265
46541,5,23.457456,195624
81093,6,40.018644,340259
3102,7,1.533534,12958
62125,8,30.968056,261205
68907,9,35.052222,290035
43540,10,21.493133,182624
74255,11,37.374316,311339
18719,12,9.461991,79136
27817,13,14.045862,116929
36043,14,18.657154,151848
58858,15,29.813901,246840
28855,16,14.764793,121315
49509,17,25.818387,209121
58779,18,29.653194,247122
38931,19,19.380370,163840
65545,20,33.641503,276375
18522,21,9.428826,77675
14561,22,7.420336,61221
10863,23,5.467489,45482
9841,24,4.954086,41385
23001,25,12.073577,96462
55349,26,27.854879,232548
61849,27,31.207397,259225
66893,28,34.110988,280735
38905,29,19.491150,163313
22160,30,11.466301,93544
88365,31,44.464761,370682
2351,32,1.223982,9869
13707,33,7.036627,57558
12605,34,6.391749,52781
34191,35,17.557721,143889
74355,36,37.303378,312132
73472,37,36.955676,308207
53842,38,27.246090,226273
87254,39,45.925798,365583
8301,40,4.273039,34854
68327,41,34.547473,287279
75864,42,39.014456,319310
50879,43,26.405529,213396
3056,44,1.559014,12899
13674,45,7.198040,57204
53856,46,27.524001,227041
52109,47,26.533492,219820
99890,48,49.758664,418814
66860,49,33.940657,280455
1079,50,0.586897,4676
81599,51,40.724739,341946
95190,52,49.873991,399081
87630,53,44.639782,368095
6502,54,3.253443,27315
36589,55,18.559661,153755
40702,56,20.642598,171676
19523,57,9.715502,82005
51247,58,26.342560,214570
15219,59,7.845037,64065
30961,60,15.671019,130504
7379,61,3.741591,31021
66798,62,33.159043,280699
24948,63,12.667846,105753
50619,64,25.278427,212768
57553,65,29.404401,240302
21451,66,10.762631,89981
2366,67,1.167847,9757
7449,68,3.838724,30933
89795,69,45.607676,377497
42093,70,21.847539,177310
69827,71,35.807063,292384
35921,72,17.960050,150948
80238,73,39.989168,337665
20699,74,10.809697,86606
31560,75,16.081982,132690
30481,76,15.328954,127452
371,77,0.198534,1557
70876,78,35.963000,298203
36125,79,18.668535,152097
93810,80,47.128418,392634
66768,81,33.704693,281593
90786,82,45.928641,381556
15998,83,8.082158,67020
99071,84,50.165547,416446
51043,85,26.001159,214251
77477,86,39.460976,324708
66250,87,33.509184,278383
68308,88,34.419639,287169
49478,89,25.107142,208208
81960,90,41.576161,344483
5333,91,2.790889,22382
93159,92,46.930174,390850
14003,93,7.314122,58822
82161,94,40.892725,344623
15741,95,8.171596,66248
27003,96,13.418399,113980
65425,97,32.677521,275385
82232,98,40.677236,345117
90718,99,45.960230,381491
