seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,2,2,3,612,3.6429,0.224
2,1,4,6,5,612,3.6429,0.344
3,1,2,8,3,561,3.3393,0.111
4,0,0,8,1,568,3.3810,0.107
5,0,0,8,1,554,3.2976,0.098
6,0,0,8,1,597,3.5536,0.109
7,1,1,9,2,567,3.3750,0.171
8,0,0,9,1,559,3.3274,0.102
9,0,0,9,1,574,3.4167,0.107
10,1,1,10,2,615,3.6607,0.162
11,0,0,10,1,600,3.5714,0.111
12,0,0,10,1,625,3.7202,0.118
13,0,0,10,1,576,3.4286,0.109
14,0,0,10,1,556,3.3095,0.104
15,0,0,10,1,589,3.5060,0.115
16,0,0,10,1,623,3.7083,0.121
17,0,0,10,1,569,3.3869,0.104
18,1,2,12,3,632,3.7619,0.301
19,0,0,12,1,584,3.4762,0.111
20,0,0,12,1,519,3.0893,0.092
21,0,0,12,1,591,3.5179,0.108
22,1,1,13,2,581,3.4583,0.193
23,0,0,13,1,570,3.3929,0.101
24,0,0,13,1,589,3.5060,0.109
25,0,0,13,1,611,3.6369,0.115
26,1,1,14,2,608,3.6190,0.155
27,1,2,16,3,559,3.3274,0.173
28,0,0,16,1,602,3.5833,0.109
29,0,0,16,1,541,3.2202,0.098
30,0,0,16,1,610,3.6310,0.110
31,1,1,17,2,613,3.6488,0.233
32,0,0,17,1,638,3.7976,0.111
33,0,0,17,1,561,3.3393,0.105
34,0,0,17,1,580,3.4524,0.105
35,0,0,17,1,587,3.4940,0.105
36,1,1,18,2,597,3.5536,0.178
37,0,0,18,1,601,3.5774,0.115
38,0,0,18,1,563,3.3512,0.103
39,0,0,18,1,584,3.4762,0.113
40,0,0,18,1,583,3.4702,0.111
41,0,0,18,1,587,3.4940,0.114
42,0,0,18,1,595,3.5417,0.109
43,0,0,18,1,568,3.3810,0.105
44,0,0,18,1,591,3.5179,0.117
45,0,0,18,1,583,3.4702,0.110
46,0,0,18,1,588,3.5000,0.114
47,0,0,18,1,581,3.4583,0.105
48,1,1,19,2,605,3.6012,0.130
49,1,1,20,2,595,3.5417,0.201
50,0,0,20,1,570,3.3929,0.107
51,0,0,20,1,580,3.4524,0.112
52,0,0,20,1,576,3.4286,0.155
53,1,1,21,2,639,3.8036,0.245
54,0,0,21,1,558,3.3214,0.111
55,0,0,21,1,579,3.4464,0.119
56,0,0,21,1,578,3.4405,0.122
57,0,0,21,1,593,3.5298,0.118
58,0,0,21,1,578,3.4405,0.120
59,0,0,21,1,563,3.3512,0.107
60,1,2,23,3,616,3.6667,0.279
61,0,0,23,1,575,3.4226,0.105
62,0,0,23,1,563,3.3512,0.108
63,0,0,23,1,554,3.2976,0.110
64,0,0,23,1,568,3.3810,0.110
65,0,0,23,1,576,3.4286,0.118
66,0,0,23,1,582,3.4643,0.117
67,0,0,23,1,602,3.5833,0.115
68,0,0,23,1,560,3.3333,0.113
69,1,1,24,2,599,3.5655,0.224
70,0,0,24,1,582,3.4643,0.115
71,1,1,25,2,557,3.3155,0.154
72,0,0,25,1,555,3.3036,0.109
73,1,1,26,2,574,3.4167,0.215
74,0,0,26,1,574,3.4167,0.110
75,0,0,26,1,572,3.4048,0.110
76,0,0,26,1,571,3.3988,0.114
77,0,0,26,1,567,3.3750,0.110
78,0,0,26,1,617,3.6726,0.137
79,0,0,26,1,560,3.3333,0.107
80,0,0,26,1,596,3.5476,0.115
81,0,0,26,1,592,3.5238,0.109
82,1,1,27,2,610,3.6310,0.181
83,0,0,27,1,622,3.7024,0.124
84,0,0,27,1,604,3.5952,0.113
85,0,0,27,1,599,3.5655,0.122
86,0,0,27,1,586,3.4881,0.109
87,0,0,27,1,580,3.4524,0.114
88,0,0,27,1,626,3.7262,0.123
89,0,0,27,1,579,3.4464,0.110
90,0,0,27,1,579,3.4464,0.109
91,0,0,27,1,573,3.4107,0.107
92,0,0,27,1,589,3.5060,0.112
93,0,0,27,1,617,3.6726,0.119
94,0,0,27,1,575,3.4226,0.111
95,0,0,27,1,569,3.3869,0.107
96,0,0,27,1,570,3.3929,0.111
97,0,0,27,1,575,3.4226,0.117
98,0,0,27,1,561,3.3393,0.104
99,0,0,27,1,589,3.5060,0.118
100,0,0,27,1,601,3.5774,0.137
101,0,0,27,1,566,3.3690,0.109
102,0,0,27,1,585,3.4821,0.122
103,0,0,27,1,617,3.6726,0.122
104,0,0,27,1,632,3.7619,0.153
105,0,0,27,1,569,3.3869,0.131
106,0,0,27,1,547,3.2560,0.106
107,0,0,27,1,549,3.2679,0.109
108,0,0,27,1,589,3.5060,0.117
109,0,0,27,1,605,3.6012,0.116
110,0,0,27,1,572,3.4048,0.109
111,0,0,27,1,585,3.4821,0.120
112,0,0,27,1,596,3.5476,0.114
113,0,0,27,1,591,3.5179,0.116
114,0,0,27,1,587,3.4940,0.116
115,0,0,27,1,598,3.5595,0.118
116,0,0,27,1,594,3.5357,0.110
117,1,1,28,2,604,3.5952,0.172
118,0,0,28,1,592,3.5238,0.112
119,0,0,28,1,597,3.5536,0.112
120,0,0,28,1,552,3.2857,0.098
121,0,0,28,1,585,3.4821,0.114
122,0,0,28,1,566,3.3690,0.104
123,0,0,28,1,591,3.5179,0.114
124,1,1,29,2,584,3.4762,0.202
125,0,0,29,1,567,3.3750,0.107
126,0,0,29,1,573,3.4107,0.107
127,0,0,29,1,641,3.8155,0.123
128,0,0,29,1,590,3.5119,0.115
129,0,0,29,1,618,3.6786,0.120
130,0,0,29,1,553,3.2917,0.122
131,0,0,29,1,606,3.6071,0.129
132,0,0,29,1,562,3.3452,0.117
133,0,0,29,1,601,3.5774,0.121
134,0,0,29,1,604,3.5952,0.113
135,0,0,29,1,576,3.4286,0.110
136,0,0,29,1,639,3.8036,0.124
137,0,0,29,1,600,3.5714,0.114
138,0,0,29,1,572,3.4048,0.111
139,0,0,29,1,572,3.4048,0.107
140,0,0,29,1,569,3.3869,0.106
141,0,0,29,1,567,3.3750,0.109
142,0,0,29,1,582,3.4643,0.112
143,0,0,29,1,606,3.6071,0.116
144,0,0,29,1,612,3.6429,0.115
145,0,0,29,1,646,3.8452,0.132
146,0,0,29,1,595,3.5417,0.119
147,0,0,29,1,582,3.4643,0.107
148,0,0,29,1,575,3.4226,0.115
149,0,0,29,1,584,3.4762,0.111
150,0,0,29,1,602,3.5833,0.118
151,0,0,29,1,559,3.3274,0.129
152,0,0,29,1,585,3.4821,0.140
153,0,0,29,1,589,3.5060,0.130
154,0,0,29,1,595,3.5417,0.148
