constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id
dl_0,3,,,
dl_0,3,West_exit,3,2
dl_0,4,East_exit,4,3
dl_0,5,West_exit,5,3
dl_0,2,East_exit,2,2
dl_1,2,,,
dl_1,59,East_exit,59,40
dl_1,60,West_exit,60,40
dl_1,61,West_exit,61,40
dl_2,2,,,
dl_2,56,East_exit,56,38
dl_2,57,West_exit,57,38
dl_2,58,West_exit,58,38
dl_3,3,,,
dl_3,3,East_exit,3,3
dl_3,4,West_exit,4,2
dl_3,5,West_exit,5,3
dl_3,2,East_exit,2,2
dl_4,3,,,
dl_4,54,East_exit,54,37
dl_4,55,West_exit,55,36
dl_4,53,East_exit,53,36
dl_4,56,West_exit,56,37
dl_5,3,,,
dl_5,6,West_exit,6,4
dl_5,7,East_exit,7,5
dl_5,8,West_exit,8,5
dl_5,5,East_exit,5,4
dl_6,3,,,
dl_6,54,West_exit,54,36
dl_6,55,East_exit,55,37
dl_6,53,East_exit,53,36
dl_6,56,West_exit,56,37
dl_7,2,,,
dl_7,17,West_exit,17,11
dl_7,15,East_exit,15,11
dl_7,16,East_exit,16,11
dl_8,3,,,
dl_8,6,East_exit,6,5
dl_8,7,West_exit,7,4
dl_8,5,East_exit,5,4
dl_8,8,West_exit,8,5
dl_9,3,,,
dl_9,60,East_exit,60,41
dl_9,61,West_exit,61,40
dl_9,59,East_exit,59,40
dl_9,62,West_exit,62,41
dl_10,2,,,
dl_10,47,East_exit,47,32
dl_10,48,West_exit,48,32
dl_10,49,West_exit,49,32
dl_11,2,,,
dl_11,5,East_exit,5,4
dl_11,6,West_exit,6,4
dl_11,7,West_exit,7,4
dl_12,3,,,
dl_12,57,East_exit,57,39
dl_12,58,West_exit,58,38
dl_12,56,East_exit,56,38
dl_12,59,West_exit,59,39
dl_13,5,,,
dl_13,54,East_exit,54,37
dl_13,55,West_exit,55,36
dl_13,53,East_exit,53,36
dl_13,57,East_exit,57,39
