N,rate,total_seeds,training_seeds,final_constraints,total_iterations,total_training_time,final_throughput,consecutive_clean,converged
2,1.00,244,5,5,249,4.2,1.9583,100,1
2,1.25,148,5,5,153,3.4,2.5298,100,1
2,1.50,142,3,5,147,3.9,2.9821,100,1
2,1.75,112,6,6,118,3.6,3.5536,100,1
2,2.00,149,3,6,155,5.5,3.9643,100,1
2,2.25,111,4,6,117,4.8,4.5476,100,1
2,2.50,105,3,6,111,5.0,4.8690,100,1
2,2.75,109,3,6,115,5.9,5.7560,100,1
2,3.00,170,3,6,176,10.0,5.8214,100,1
5,1.00,124,1,1,125,3.3,1.9464,100,1
5,1.25,328,10,14,342,11.4,2.3988,100,1
5,1.50,354,15,24,378,15.2,2.9524,100,1
5,1.75,289,12,22,310,14.5,3.5595,100,1
5,2.00,261,19,31,292,15.7,4.0417,100,1
5,2.25,295,18,48,341,21.0,4.4643,100,1
5,2.50,328,14,49,377,27.2,5.0238,100,1
5,2.75,337,19,81,417,32.8,5.2202,100,1
5,3.00,245,20,88,333,29.0,5.7917,100,1
10,1.00,197,5,5,202,8.4,2.0357,100,1
10,1.25,349,12,16,365,19.1,2.4524,100,1
10,1.50,507,20,29,536,34.6,2.9821,100,1
10,1.75,634,31,37,671,52.2,3.4226,100,1
10,2.00,463,22,53,513,45.8,4.1786,100,1
10,2.25,352,30,62,414,42.7,4.4762,100,1
10,2.50,819,39,386,1202,126.2,4.7321,100,1
10,2.75,1260,61,1054,2311,291.6,5.5060,100,1
10,3.00,1123,60,2318,3438,474.6,5.8571,100,1
15,1.00,147,3,3,150,8.3,1.8988,100,1
15,1.25,531,19,21,552,41.6,2.4881,100,1
15,1.50,477,26,31,508,47.4,3.1488,100,1
15,1.75,575,35,49,624,71.4,3.2679,100,1
15,2.00,627,41,65,691,91.6,3.9881,100,1
15,2.25,662,42,372,1033,157.1,4.5536,100,1
15,2.50,510,47,2471,2974,509.4,4.8214,100,1
15,2.75,679,54,7067,7718,2034.7,5.4405,100,1
15,3.00,541,72,22528,23019,28683.0,6.0179,8,0
20,1.00,430,12,14,444,33.5,1.8869,100,1
20,1.25,327,19,26,353,33.3,2.5060,100,1
20,1.50,524,33,40,564,66.0,2.9702,100,1
20,1.75,1050,56,100,1150,164.0,3.6071,100,1
20,2.00,509,51,124,633,101.4,3.8631,100,1
20,2.25,706,58,269,972,179.0,4.6548,100,1
20,2.50,2585,137,14552,17079,7384.9,5.0417,100,1
20,2.75,714,96,22405,23049,24836.8,5.2738,8,0
20,3.00,136,47,21306,21230,19404.5,6.1845,3,0
