id,tail,head,length,direction,comment,comment 2
0,0,1,1.000000,0,West spawn,
1,1,0,0.500000,0,West exit,
2,1,2,1.634000,1,West corridor to PL_0,
3,3,2,0.700000,1,PL_0 main line,
4,2,3,0.700000,1,PL_0 siding,
5,3,4,2.347000,1,Corridor PL_0 to PL_1,
6,5,4,0.700000,1,PL_1 main line,
7,4,5,0.700000,1,PL_1 siding,
8,5,6,2.264000,1,Corridor PL_1 to PL_2,
9,7,6,0.700000,1,PL_2 main line,
10,6,7,0.700000,1,PL_2 siding,
11,7,8,1.755000,1,Corridor PL_2 to PL_3,
12,9,8,0.700000,1,PL_3 main line,
13,8,9,0.700000,1,PL_3 siding,
14,9,10,1.995000,1,Corridor PL_3 to PL_4,
15,11,10,0.700000,1,PL_4 main line,
16,10,11,0.700000,1,PL_4 siding,
17,11,12,1.949000,1,Corridor PL_4 to PL_5,
18,13,12,0.700000,1,PL_5 main line,
19,12,13,0.700000,1,PL_5 siding,
20,13,14,2.152000,1,Corridor PL_5 to PL_6,
21,15,14,0.700000,1,PL_6 main line,
22,14,15,0.700000,1,PL_6 siding,
23,15,16,2.289000,1,Corridor PL_6 to PL_7,
24,17,16,0.700000,1,PL_7 main line,
25,16,17,0.700000,1,PL_7 siding,
26,17,18,1.594000,1,Corridor PL_7 to PL_8,
27,19,18,0.700000,1,PL_8 main line,
28,18,19,0.700000,1,PL_8 siding,
29,19,20,1.528000,1,Corridor PL_8 to PL_9,
30,21,20,0.700000,1,PL_9 main line,
31,20,21,0.700000,1,PL_9 siding,
32,21,22,2.336000,1,Corridor PL_9 to PL_10,
33,23,22,0.700000,1,PL_10 main line,
34,22,23,0.700000,1,PL_10 siding,
35,23,24,1.933000,1,Corridor PL_10 to PL_11,
36,25,24,0.700000,1,PL_11 main line,
37,24,25,0.700000,1,PL_11 siding,
38,25,26,2.262000,1,Corridor PL_11 to PL_12,
39,27,26,0.700000,1,PL_12 main line,
40,26,27,0.700000,1,PL_12 siding,
41,27,28,1.502000,1,Corridor PL_12 to PL_13,
42,29,28,0.700000,1,PL_13 main line,
43,28,29,0.700000,1,PL_13 siding,
44,29,30,1.945000,1,Corridor PL_13 to PL_14,
45,31,30,0.700000,1,PL_14 main line,
46,30,31,0.700000,1,PL_14 siding,
47,31,32,2.222000,1,Corridor PL_14 to PL_15,
48,33,32,0.700000,1,PL_15 main line,
49,32,33,0.700000,1,PL_15 siding,
50,33,34,1.729000,1,Corridor PL_15 to PL_16,
51,35,34,0.700000,1,PL_16 main line,
52,34,35,0.700000,1,PL_16 siding,
53,35,36,2.445000,1,Corridor PL_16 to PL_17,
54,37,36,0.700000,1,PL_17 main line,
55,36,37,0.700000,1,PL_17 siding,
56,37,38,2.401000,1,Corridor PL_17 to PL_18,
57,39,38,0.700000,1,PL_18 main line,
58,38,39,0.700000,1,PL_18 siding,
59,39,40,1.531000,1,Corridor PL_18 to PL_19,
60,41,40,0.700000,1,PL_19 main line,
61,40,41,0.700000,1,PL_19 siding,
62,41,42,1.525000,1,Corridor PL_19 to East,
63,43,42,1.000000,0,East spawn,
64,42,43,0.500000,0,East exit,
65,44,1,1.000000,0,West spawn long,
66,1,44,0.500000,0,West exit long,
67,45,42,1.000000,0,East spawn long,
68,42,45,0.500000,0,East exit long,
