seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,641,641,642,702,4.1786,1.195
2,0,0,641,1,708,4.2143,0.067
3,0,0,641,1,652,3.8810,0.067
4,0,0,641,1,654,3.8929,0.066
5,0,0,641,1,645,3.8393,0.060
6,0,0,641,1,671,3.9940,0.064
7,0,0,641,1,655,3.8988,0.062
8,0,0,641,1,651,3.8750,0.060
9,0,0,641,1,683,4.0655,0.063
10,0,0,641,1,708,4.2143,0.071
11,0,0,641,1,674,4.0119,0.061
12,0,0,641,1,700,4.1667,0.066
13,0,0,641,1,660,3.9286,0.063
14,0,0,641,1,642,3.8214,0.060
15,0,0,641,1,672,4.0000,0.064
16,0,0,641,1,707,4.2083,0.071
17,0,0,641,1,660,3.9286,0.064
18,0,0,641,1,699,4.1607,0.066
19,0,0,641,1,659,3.9226,0.065
20,0,0,641,1,594,3.5357,0.061
21,0,0,641,1,663,3.9464,0.062
22,0,0,641,1,651,3.8750,0.059
23,0,0,641,1,645,3.8393,0.060
24,0,0,641,1,685,4.0774,0.070
25,0,0,641,1,695,4.1369,0.071
26,0,0,641,1,695,4.1369,0.066
27,0,0,641,1,631,3.7560,0.060
28,0,0,641,1,681,4.0536,0.068
29,0,0,641,1,629,3.7440,0.064
30,0,0,641,1,692,4.1190,0.080
31,0,0,641,1,698,4.1548,0.072
32,0,0,641,1,734,4.3690,0.070
33,0,0,641,1,643,3.8274,0.060
34,0,0,641,1,654,3.8929,0.064
35,0,0,641,1,669,3.9821,0.063
36,0,0,641,1,681,4.0536,0.066
37,0,0,641,1,679,4.0417,0.069
38,0,0,641,1,630,3.7500,0.061
39,0,0,641,1,670,3.9881,0.064
40,0,0,641,1,675,4.0179,0.068
41,0,0,641,1,668,3.9762,0.061
42,0,0,641,1,666,3.9643,0.064
43,0,0,641,1,646,3.8452,0.059
44,0,0,641,1,670,3.9881,0.065
45,0,0,641,1,666,3.9643,0.060
46,0,0,641,1,671,3.9940,0.064
47,0,0,641,1,654,3.8929,0.061
48,0,0,641,1,675,4.0179,0.066
49,0,0,641,1,697,4.1488,0.064
50,0,0,641,1,622,3.7024,0.059
51,0,0,641,1,659,3.9226,0.063
52,0,0,641,1,660,3.9286,0.063
53,0,0,641,1,719,4.2798,0.067
54,0,0,641,1,638,3.7976,0.068
55,0,0,641,1,653,3.8869,0.060
56,0,0,641,1,671,3.9940,0.064
57,0,0,641,1,663,3.9464,0.061
58,0,0,641,1,671,3.9940,0.062
59,0,0,641,1,653,3.8869,0.065
60,0,0,641,1,684,4.0714,0.109
61,0,0,641,1,664,3.9524,0.062
62,0,0,641,1,636,3.7857,0.064
63,0,0,641,1,645,3.8393,0.059
64,0,0,641,1,662,3.9405,0.067
65,0,0,641,1,670,3.9881,0.065
66,0,0,641,1,665,3.9583,0.070
67,0,0,641,1,687,4.0893,0.063
68,0,0,641,1,639,3.8036,0.058
69,0,0,641,1,689,4.1012,0.080
70,0,0,641,1,658,3.9167,0.066
71,0,0,641,1,656,3.9048,0.067
72,0,0,641,1,649,3.8631,0.063
73,0,0,641,1,651,3.8750,0.068
74,0,0,641,1,644,3.8333,0.062
75,0,0,641,1,652,3.8810,0.065
76,0,0,641,1,666,3.9643,0.067
77,0,0,641,1,651,3.8750,0.066
78,0,0,641,1,699,4.1607,0.068
79,0,0,641,1,634,3.7738,0.062
80,0,0,641,1,686,4.0833,0.073
81,0,0,641,1,672,4.0000,0.063
82,0,0,641,1,674,4.0119,0.071
83,0,0,641,1,716,4.2619,0.069
84,0,0,641,1,687,4.0893,0.070
85,0,0,641,1,676,4.0238,0.066
86,0,0,641,1,668,3.9762,0.060
87,0,0,641,1,658,3.9167,0.067
88,0,0,641,1,710,4.2262,0.071
89,0,0,641,1,662,3.9405,0.065
90,0,0,641,1,656,3.9048,0.062
91,0,0,641,1,689,4.1012,0.065
92,0,0,641,1,675,4.0179,0.077
93,0,0,641,1,702,4.1786,0.067
94,0,0,641,1,669,3.9821,0.060
95,0,0,641,1,665,3.9583,0.064
96,0,0,641,1,651,3.8750,0.068
97,0,0,641,1,661,3.9345,0.066
98,0,0,641,1,636,3.7857,0.062
99,0,0,641,1,671,3.9940,0.072
100,0,0,641,1,675,4.0179,0.078
101,0,0,641,1,637,3.7917,0.060
