constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id,min_length,max_length
dl_0,1,,,,,
dl_0,56,East_exit,57,39,0.8,0
dl_0,59,West_exit,58,38,0.8,0
dl_1,1,,,,,
dl_1,56,East_exit,56,38,0.8,0
dl_1,59,West_exit,58,38,0.8,0
dl_1,58,West_exit,58,38,0.8,0
dl_2,1,,,,,
dl_2,59,West_exit,57,38,0.8,0
dl_2,56,East_exit,58,39,0.8,0
dl_3,1,,,,,
dl_3,57,West_exit,57,38,0.8,0
dl_3,59,West_exit,57,38,0.8,0
dl_3,56,East_exit,56,38,0.8,0
dl_4,1,,,,,
dl_4,59,West_exit,59,39,0.8,0
dl_4,56,East_exit,58,39,0.8,0
dl_4,58,East_exit,58,39,0.8,0
dl_5,1,,,,,
dl_5,59,West_exit,59,39,0.8,0
dl_5,57,East_exit,57,39,0.8,0
dl_5,56,East_exit,57,39,0.8,0
dl_6,1,,,,,
dl_6,59,West_exit,59,39,0.8,0
dl_6,56,East_exit,56,38,0.8,0
dl_7,1,,,,,
dl_7,62,West_exit,61,40,0.8,0
dl_7,59,East_exit,60,41,0.8,0
dl_8,1,,,,,
dl_8,62,West_exit,61,40,0.8,0
dl_8,61,West_exit,61,40,0.8,0
dl_8,59,East_exit,59,40,0.8,0
dl_9,1,,,,,
dl_9,62,West_exit,61,40,0.8,0
dl_9,61,West_exit,61,40,0.8,0
dl_9,56,East_exit,58,39,0.8,0
dl_9,58,East_exit,58,39,0.8,0
dl_10,1,,,,,
dl_10,62,West_exit,61,40,0.8,0
dl_10,61,West_exit,61,40,0.8,0
dl_10,57,East_exit,57,39,0.8,0
dl_10,56,East_exit,57,39,0.8,0
dl_11,1,,,,,
dl_11,62,West_exit,61,40,0.8,0
dl_11,61,West_exit,61,40,0.8,0
dl_11,56,East_exit,56,38,0.8,0
dl_12,1,,,,,
dl_12,62,West_exit,60,40,0.8,0
dl_12,59,East_exit,61,41,0.8,0
dl_13,1,,,,,
dl_13,60,West_exit,60,40,0.8,0
dl_13,62,West_exit,60,40,0.8,0
dl_13,59,East_exit,59,40,0.8,0
dl_14,1,,,,,
dl_14,60,West_exit,60,40,0.8,0
dl_14,62,West_exit,60,40,0.8,0
dl_14,56,East_exit,58,39,0.8,0
dl_14,58,East_exit,58,39,0.8,0
dl_15,1,,,,,
dl_15,60,West_exit,60,40,0.8,0
dl_15,62,West_exit,60,40,0.8,0
dl_15,57,East_exit,57,39,0.8,0
dl_15,56,East_exit,57,39,0.8,0
dl_16,1,,,,,
dl_16,60,West_exit,60,40,0.8,0
dl_16,62,West_exit,60,40,0.8,0
dl_16,56,East_exit,56,38,0.8,0
dl_17,1,,,,,
dl_17,62,West_exit,62,41,0.8,0
dl_17,59,East_exit,61,41,0.8,0
dl_17,61,East_exit,61,41,0.8,0
dl_18,1,,,,,
dl_18,62,West_exit,62,41,0.8,0
dl_18,60,East_exit,60,41,0.8,0
dl_18,59,East_exit,60,41,0.8,0
dl_19,1,,,,,
dl_19,62,West_exit,62,41,0.8,0
dl_19,59,East_exit,59,40,0.8,0
dl_20,1,,,,,
dl_20,62,West_exit,62,41,0.8,0
dl_20,56,East_exit,58,39,0.8,0
dl_20,58,East_exit,58,39,0.8,0
dl_21,1,,,,,
dl_21,62,West_exit,62,41,0.8,0
dl_21,57,East_exit,57,39,0.8,0
dl_21,56,East_exit,57,39,0.8,0
dl_22,1,,,,,
dl_22,62,West_exit,62,41,0.8,0
dl_22,56,East_exit,56,38,0.8,0
dl_23,1,,,,,
dl_23,53,East_exit,55,37,0.8,0
dl_23,56,West_exit,54,36,0.8,0
dl_24,1,,,,,
dl_24,53,East_exit,55,37,0.8,0
dl_24,55,East_exit,55,37,0.8,0
dl_24,56,West_exit,56,37,0.8,0
dl_25,1,,,,,
dl_25,59,West_exit,58,38,0.8,0
dl_25,58,West_exit,58,38,0.8,0
dl_25,53,East_exit,55,37,0.8,0
dl_25,55,East_exit,55,37,0.8,0
dl_26,1,,,,,
dl_26,57,West_exit,57,38,0.8,0
dl_26,59,West_exit,57,38,0.8,0
dl_26,53,East_exit,55,37,0.8,0
dl_26,55,East_exit,55,37,0.8,0
dl_27,1,,,,,
dl_27,59,West_exit,59,39,0.8,0
dl_27,53,East_exit,55,37,0.8,0
dl_27,55,East_exit,55,37,0.8,0
dl_28,1,,,,,
dl_28,62,West_exit,61,40,0.8,0
dl_28,61,West_exit,61,40,0.8,0
dl_28,53,East_exit,55,37,0.8,0
dl_28,55,East_exit,55,37,0.8,0
dl_29,1,,,,,
dl_29,60,West_exit,60,40,0.8,0
dl_29,62,West_exit,60,40,0.8,0
dl_29,53,East_exit,55,37,0.8,0
dl_29,55,East_exit,55,37,0.8,0
dl_30,1,,,,,
dl_30,62,West_exit,62,41,0.8,0
dl_30,53,East_exit,55,37,0.8,0
dl_30,55,East_exit,55,37,0.8,0
dl_31,1,,,,,
dl_31,53,East_exit,54,37,0.8,0
dl_31,56,West_exit,55,36,0.8,0
dl_32,1,,,,,
dl_32,54,East_exit,54,37,0.8,0
dl_32,53,East_exit,54,37,0.8,0
dl_32,56,West_exit,56,37,0.8,0
dl_33,1,,,,,
dl_33,59,West_exit,58,38,0.8,0
dl_33,58,West_exit,58,38,0.8,0
dl_33,54,East_exit,54,37,0.8,0
dl_33,53,East_exit,54,37,0.8,0
dl_34,1,,,,,
dl_34,57,West_exit,57,38,0.8,0
dl_34,59,West_exit,57,38,0.8,0
dl_34,54,East_exit,54,37,0.8,0
dl_34,53,East_exit,54,37,0.8,0
dl_35,1,,,,,
dl_35,59,West_exit,59,39,0.8,0
dl_35,54,East_exit,54,37,0.8,0
dl_35,53,East_exit,54,37,0.8,0
dl_36,1,,,,,
dl_36,54,East_exit,54,37,0.8,0
dl_36,53,East_exit,54,37,0.8,0
dl_36,62,West_exit,61,40,0.8,0
dl_36,61,West_exit,61,40,0.8,0
dl_37,1,,,,,
dl_37,54,East_exit,54,37,0.8,0
dl_37,53,East_exit,54,37,0.8,0
dl_37,60,West_exit,60,40,0.8,0
dl_37,62,West_exit,60,40,0.8,0
dl_38,1,,,,,
dl_38,62,West_exit,62,41,0.8,0
dl_38,54,East_exit,54,37,0.8,0
dl_38,53,East_exit,54,37,0.8,0
dl_39,1,,,,,
dl_39,53,East_exit,53,36,0.8,0
dl_39,56,West_exit,55,36,0.8,0
dl_39,55,West_exit,55,36,0.8,0
dl_40,1,,,,,
dl_40,53,East_exit,53,36,0.8,0
dl_40,54,West_exit,54,36,0.8,0
dl_40,56,West_exit,54,36,0.8,0
dl_41,3,,,,,
dl_41,59,West_exit,58,38,0.8,0
dl_41,56,West_exit,56,37,0.8,0
dl_41,53,East_exit,53,36,0.8,0
dl_41,58,West_exit,58,38,0.8,0
dl_41,62,West_exit,61,40,0.8,0
dl_41,61,West_exit,61,40,0.8,0
dl_42,3,,,,,
dl_42,59,West_exit,58,38,0.8,0
dl_42,56,West_exit,56,37,0.8,0
dl_42,53,East_exit,53,36,0.8,0
dl_42,58,West_exit,58,38,0.8,0
dl_42,60,West_exit,60,40,0.8,0
dl_42,62,West_exit,60,40,0.8,0
dl_43,3,,,,,
dl_43,59,West_exit,58,38,0.8,0
dl_43,58,West_exit,58,38,0.8,0
dl_43,56,West_exit,56,37,0.8,0
dl_43,53,East_exit,53,36,0.8,0
dl_43,62,West_exit,62,41,0.8,0
dl_44,2,,,,,
dl_44,56,West_exit,56,37,0.8,0
dl_44,53,East_exit,53,36,0.8,0
dl_44,59,West_exit,58,38,0.8,0
dl_44,58,West_exit,58,38,0.8,0
dl_45,3,,,,,
dl_45,59,West_exit,57,38,0.8,0
dl_45,56,West_exit,56,37,0.8,0
dl_45,53,East_exit,53,36,0.8,0
dl_45,57,West_exit,57,38,0.8,0
dl_45,62,West_exit,61,40,0.8,0
dl_45,61,West_exit,61,40,0.8,0
dl_46,3,,,,,
dl_46,59,West_exit,57,38,0.8,0
dl_46,56,West_exit,56,37,0.8,0
dl_46,53,East_exit,53,36,0.8,0
dl_46,57,West_exit,57,38,0.8,0
dl_46,60,West_exit,60,40,0.8,0
dl_46,62,West_exit,60,40,0.8,0
dl_47,3,,,,,
dl_47,59,West_exit,57,38,0.8,0
dl_47,57,West_exit,57,38,0.8,0
dl_47,56,West_exit,56,37,0.8,0
dl_47,53,East_exit,53,36,0.8,0
dl_47,62,West_exit,62,41,0.8,0
dl_48,2,,,,,
dl_48,56,West_exit,56,37,0.8,0
dl_48,53,East_exit,53,36,0.8,0
dl_48,57,West_exit,57,38,0.8,0
dl_48,59,West_exit,57,38,0.8,0
dl_49,3,,,,,
dl_49,59,West_exit,59,39,0.8,0
dl_49,56,West_exit,56,37,0.8,0
dl_49,53,East_exit,53,36,0.8,0
dl_49,62,West_exit,61,40,0.8,0
dl_49,61,West_exit,61,40,0.8,0
dl_50,3,,,,,
dl_50,59,West_exit,59,39,0.8,0
dl_50,56,West_exit,56,37,0.8,0
dl_50,53,East_exit,53,36,0.8,0
dl_50,60,West_exit,60,40,0.8,0
dl_50,62,West_exit,60,40,0.8,0
dl_51,3,,,,,
dl_51,59,West_exit,59,39,0.8,0
dl_51,56,West_exit,56,37,0.8,0
dl_51,53,East_exit,53,36,0.8,0
dl_51,62,West_exit,62,41,0.8,0
dl_52,2,,,,,
dl_52,56,West_exit,56,37,0.8,0
dl_52,53,East_exit,53,36,0.8,0
dl_52,59,West_exit,59,39,0.8,0
dl_53,2,,,,,
dl_53,56,West_exit,56,37,0.8,0
dl_53,53,East_exit,53,36,0.8,0
dl_53,62,West_exit,61,40,0.8,0
dl_53,61,West_exit,61,40,0.8,0
dl_54,2,,,,,
dl_54,56,West_exit,56,37,0.8,0
dl_54,53,East_exit,53,36,0.8,0
dl_54,60,West_exit,60,40,0.8,0
dl_54,62,West_exit,60,40,0.8,0
dl_55,2,,,,,
dl_55,56,West_exit,56,37,0.8,0
dl_55,53,East_exit,53,36,0.8,0
dl_55,62,West_exit,62,41,0.8,0
dl_56,1,,,,,
dl_56,53,East_exit,53,36,0.8,0
dl_56,56,West_exit,56,37,0.8,0
dl_57,2,,,,,
dl_57,59,West_exit,58,38,0.8,0
dl_57,53,East_exit,53,36,0.8,0
dl_57,62,West_exit,61,40,0.8,0
dl_57,61,West_exit,61,40,0.8,0
dl_57,58,West_exit,58,38,0.8,0
dl_58,2,,,,,
dl_58,59,West_exit,58,38,0.8,0
dl_58,53,East_exit,53,36,0.8,0
dl_58,60,West_exit,60,40,0.8,0
dl_58,62,West_exit,60,40,0.8,0
dl_58,58,West_exit,58,38,0.8,0
dl_59,2,,,,,
dl_59,59,West_exit,58,38,0.8,0
dl_59,58,West_exit,58,38,0.8,0
dl_59,53,East_exit,53,36,0.8,0
dl_59,62,West_exit,62,41,0.8,0
dl_60,1,,,,,
dl_60,53,East_exit,53,36,0.8,0
dl_60,59,West_exit,58,38,0.8,0
dl_60,58,West_exit,58,38,0.8,0
dl_61,2,,,,,
dl_61,59,West_exit,57,38,0.8,0
dl_61,53,East_exit,53,36,0.8,0
dl_61,62,West_exit,61,40,0.8,0
dl_61,61,West_exit,61,40,0.8,0
dl_61,57,West_exit,57,38,0.8,0
dl_62,2,,,,,
dl_62,59,West_exit,57,38,0.8,0
dl_62,53,East_exit,53,36,0.8,0
dl_62,60,West_exit,60,40,0.8,0
dl_62,62,West_exit,60,40,0.8,0
dl_62,57,West_exit,57,38,0.8,0
dl_63,2,,,,,
dl_63,59,West_exit,57,38,0.8,0
dl_63,57,West_exit,57,38,0.8,0
dl_63,53,East_exit,53,36,0.8,0
dl_63,62,West_exit,62,41,0.8,0
dl_64,1,,,,,
dl_64,53,East_exit,53,36,0.8,0
dl_64,57,West_exit,57,38,0.8,0
dl_64,59,West_exit,57,38,0.8,0
dl_65,2,,,,,
dl_65,59,West_exit,59,39,0.8,0
dl_65,53,East_exit,53,36,0.8,0
dl_65,62,West_exit,61,40,0.8,0
dl_65,61,West_exit,61,40,0.8,0
dl_66,2,,,,,
dl_66,59,West_exit,59,39,0.8,0
dl_66,53,East_exit,53,36,0.8,0
dl_66,60,West_exit,60,40,0.8,0
dl_66,62,West_exit,60,40,0.8,0
dl_67,2,,,,,
dl_67,59,West_exit,59,39,0.8,0
dl_67,53,East_exit,53,36,0.8,0
dl_67,62,West_exit,62,41,0.8,0
dl_68,1,,,,,
dl_68,53,East_exit,53,36,0.8,0
dl_68,59,West_exit,59,39,0.8,0
dl_69,1,,,,,
dl_69,53,East_exit,53,36,0.8,0
dl_69,62,West_exit,61,40,0.8,0
dl_69,61,West_exit,61,40,0.8,0
dl_70,1,,,,,
dl_70,53,East_exit,53,36,0.8,0
dl_70,60,West_exit,60,40,0.8,0
dl_70,62,West_exit,60,40,0.8,0
dl_71,1,,,,,
dl_71,53,East_exit,53,36,0.8,0
dl_71,62,West_exit,62,41,0.8,0
dl_72,2,,,,,
dl_72,56,West_exit,55,36,0.8,0
dl_72,55,West_exit,55,36,0.8,0
dl_72,50,East_exit,51,35,0.8,0
dl_72,52,West_exit_short,52,34,0.44,0
dl_73,2,,,,,
dl_73,54,West_exit,54,36,0.8,0
dl_73,56,West_exit,54,36,0.8,0
dl_73,50,East_exit,51,35,0.8,0
