path_id,waypt_x,waypt_y,line_id,warnings
(0-1),409505.4782,6956972.932,,
(0-1),409521.372,6957000.966,"seg449(389,390)",
(0-1),409553.5722,6957054.711,"seg446(387,390)",
(0-1),409559.0915,6957063.061,"seg447(387,388)",
(0-1),409581.2331,6957101.167,"seg444(385,388)",
(0-1),409592.9947,6957127.01,"seg445(385,386)",
(0-1),409597.3762,6957135.628,"seg442(384,386)",
(0-0),409597.3762,6957135.628,,
(0-0),409592.9947,6957127.01,"seg442(384,386)",
(0-0),409581.2331,6957101.167,"seg445(385,386)",
(0-0),409559.0915,6957063.061,"seg444(385,388)",
(0-0),409553.5722,6957054.711,"seg447(387,388)",
(0-0),409521.372,6957000.966,"seg446(387,390)",
(0-0),409505.4782,6956972.932,"seg449(389,390)",
(1-2),409597.3762,6957135.628,,
(1-2),409608.5041,6957153.657,"seg443(384,440)",
(1-2),409725.5812,6957351.6,"seg440(440,441)",
(1-2),409748.5161,6957389.435,"seg441(438,441)",
(1-2),409761.2918,6957411.796,"seg438(438,439)",
(1-2),409767.0315,6957423.802,"seg439(436,439)",
(1-2),409775.0235,6957438.484,"seg436(436,437)",
(1-2),409782.3249,6957453.05,"seg437(408,437)",
(1-1),409782.3249,6957453.05,,
(1-1),409775.0235,6957438.484,"seg437(408,437)",
(1-1),409767.0315,6957423.802,"seg436(436,437)",
(1-1),409761.2918,6957411.796,"seg439(436,439)",
(1-1),409748.5161,6957389.435,"seg438(438,439)",
(1-1),409725.5812,6957351.6,"seg441(438,441)",
(1-1),409608.5041,6957153.657,"seg440(440,441)",
(1-1),409597.3762,6957135.628,"seg443(384,440)",
(2-3),409782.3249,6957453.05,,
(2-3),409721.333,6957351.679,"seg232(408,423)",
(2-3),409702.4089,6957319.192,"seg233(423,424)",
(2-3),409608.9354,6957162.135,"seg230(421,424)",
(2-3),409575.4744,6957105.168,"seg231(421,422)",
(2-3),409551.221,6957065.44,"seg228(419,422)",
(2-3),409501.2668,6956981.431,"seg229(419,420)",
(2-3),409497.0744,6956973.977,"seg226(417,420)",
(2-3),409489.4806,6956958.966,"seg227(417,418)",
(2-3),409482.9733,6956943.962,"seg224(415,418)",
(2-3),409480.1637,6956936.519,"seg225(415,416)",
(2-3),409475.3356,6956921.528,"seg222(413,416)",
(2-3),409471.4952,6956906.544,"seg223(413,414)",
(2-3),409468.8376,6956891.901,"seg220(222,414)",
(2-3),409466.967,6956877.708,"seg221(222,223)",
(2-3),409465.3479,6956856.204,"seg218(220,223)",
(2-3),409465.3501,6956849.225,"seg219(220,221)",
(2-3),409467.1375,6956821.21,"seg216(218,221)",
(2-3),409469.4169,6956806.826,"seg217(218,219)",
(2-3),409475.0266,6956782.883,"seg214(216,219)",
(2-3),409479.5716,6956769.346,"seg215(216,217)",
(2-3),409488.8271,6956746.593,"seg212(214,217)",
(2-3),409498.2189,6956725.448,"seg213(214,215)",
(2-3),409525.9102,6956660.679,"seg210(212,215)",
(2-2),409525.9102,6956660.679,,
(2-2),409498.2189,6956725.448,"seg210(212,215)",
(2-2),409488.8271,6956746.593,"seg213(214,215)",
(2-2),409479.5716,6956769.346,"seg212(214,217)",
(2-2),409475.0266,6956782.883,"seg215(216,217)",
(2-2),409469.4169,6956806.826,"seg214(216,219)",
(2-2),409467.1375,6956821.21,"seg217(218,219)",
(2-2),409465.3501,6956849.225,"seg216(218,221)",
(2-2),409465.3479,6956856.204,"seg219(220,221)",
(2-2),409466.967,6956877.708,"seg218(220,223)",
(2-2),409468.8376,6956891.901,"seg221(222,223)",
(2-2),409471.4952,6956906.544,"seg220(222,414)",
(2-2),409475.3356,6956921.528,"seg223(413,414)",
(2-2),409480.1637,6956936.519,"seg222(413,416)",
(2-2),409482.9733,6956943.962,"seg225(415,416)",
(2-2),409489.4806,6956958.966,"seg224(415,418)",
(2-2),409497.0744,6956973.977,"seg227(417,418)",
(2-2),409501.2668,6956981.431,"seg226(417,420)",
(2-2),409551.221,6957065.44,"seg229(419,420)",
(2-2),409575.4744,6957105.168,"seg228(419,422)",
(2-2),409608.9354,6957162.135,"seg231(421,422)",
(2-2),409702.4089,6957319.192,"seg230(421,424)",
(2-2),409721.333,6957351.679,"seg233(423,424)",
(2-2),409782.3249,6957453.05,"seg232(408,423)",
(3-1),409525.9102,6956660.679,,
(3-1),409504.8351,6956719.016,"seg403(212,406)",
(3-1),409493.1216,6956746.902,"seg400(406,407)",
(3-1),409483.8628,6956770.097,"seg401(404,407)",
(3-1),409481.1395,6956777.721,"seg462(404,405)",
(3-1),409474.5899,6956801.879,"seg463(402,405)",
(3-1),409471.4288,6956821.962,"seg460(402,403)",
(3-1),409470.6842,6956829.157,"seg461(400,403)",
(3-1),409469.5426,6956849.976,"seg458(400,401)",
(3-1),409469.7872,6956863.659,"seg459(398,401)",
(3-1),409470.7713,6956877.514,"seg456(398,399)",
(3-1),409472.642,6956891.708,"seg457(396,399)",
(3-1),409477.1214,6956913.787,"seg454(396,397)",
(3-1),409484.0669,6956936.327,"seg455(394,397)",
(3-1),409486.9744,6956943.881,"seg452(394,395)",
(3-1),409493.6788,6956958.942,"seg453(392,395)",
(3-1),409501.224,6956973.842,"seg450(392,393)",
(3-1),409541.9142,6957041.608,"seg451(391,393)",
(3-1),409597.3762,6957135.628,"seg448(384,391)",
(3-3),409597.3762,6957135.628,,
(3-3),409541.9142,6957041.608,"seg448(384,391)",
(3-3),409501.224,6956973.842,"seg451(391,393)",
(3-3),409493.6788,6956958.942,"seg450(392,393)",
(3-3),409486.9744,6956943.881,"seg453(392,395)",
(3-3),409484.0669,6956936.327,"seg452(394,395)",
(3-3),409477.1214,6956913.787,"seg455(394,397)",
(3-3),409472.642,6956891.708,"seg454(396,397)",
(3-3),409470.7713,6956877.514,"seg457(396,399)",
(3-3),409469.7872,6956863.659,"seg456(398,399)",
(3-3),409469.5426,6956849.976,"seg459(398,401)",
(3-3),409470.6842,6956829.157,"seg458(400,401)",
(3-3),409471.4288,6956821.962,"seg461(400,403)",
(3-3),409474.5899,6956801.879,"seg460(402,403)",
(3-3),409481.1395,6956777.721,"seg463(402,405)",
(3-3),409483.8628,6956770.097,"seg462(404,405)",
(3-3),409493.1216,6956746.902,"seg401(404,407)",
(3-3),409504.8351,6956719.016,"seg400(406,407)",
(3-3),409525.9102,6956660.679,"seg403(212,406)",
(4-4),409525.9102,6956660.679,,
(4-4),409531.4329,6956648.478,"seg1488(212,1632)",
(4-4),409585.7123,6956521.037,"seg1489(1632,1633)",
(4-4),409615.4556,6956452.461,"seg1550(1630,1633)",
(4-4),409648.2636,6956374.375,"seg1551(1630,1631)",
(4-4),409668.5673,6956325.744,"seg1548(1628,1631)",
(4-4),409705.4011,6956243.194,"seg1549(1628,1629)",
(4-4),409748.0227,6956142.475,"seg1546(1626,1629)",
(4-4),409767.8142,6956097.201,"seg1547(1626,1627)",
(4-4),409772.0962,6956085.766,"seg1544(1624,1627)",
(4-4),409782.4364,6956063.132,"seg1545(1624,1625)",
(4-4),409794.4514,6956041.065,"seg1542(1622,1625)",
(4-4),409801.5421,6956030.482,"seg1543(1622,1623)",
(4-4),409817.4913,6956010.659,"seg1540(1620,1623)",
(4-4),409826.4512,6956001.087,"seg1541(1620,1621)",
(4-4),409835.8019,6955992.071,"seg1538(1618,1621)",
(4-4),409855.9735,6955975.603,"seg1539(1618,1619)",
(4-4),409877.4175,6955960.694,"seg1536(1616,1619)",
(4-4),409899.7969,6955946.18,"seg1537(1616,1617)",
(4-4),409943.1793,6955916.256,"seg1534(1614,1617)",
(4-4),409963.3547,6955899.233,"seg1535(1614,1615)",
(4-4),409969.4229,6955893.351,"seg1532(1612,1615)",
(4-4),409986.988,6955872.435,"seg1533(1612,1613)",
(4-4),409998.764,6955856.623,"seg1530(1610,1613)",
(4-4),410005.2158,6955847.806,"seg1531(1610,1611)",
(4-4),410017.5355,6955824.522,"seg1528(1608,1611)",
(4-4),410022.8081,6955812.651,"seg1529(1608,1609)",
(4-4),410031.5338,6955787.845,"seg1526(1606,1609)",
(4-4),410045.0157,6955747.509,"seg1527(1606,1607)",
(4-4),410053.0701,6955726.686,"seg1524(1607,1665)",
(4-4),410059.2347,6955714.379,"seg1525(1665,1666)",
(4-4),410071.2286,6955695.08,"seg1522(1663,1666)",
(4-4),410078.0193,6955684.938,"seg1523(1663,1664)",
(4-4),410092.9727,6955666.104,"seg1520(1661,1664)",
(4-4),410101.1355,6955657.412,"seg1521(1661,1662)",
(4-4),410118.3376,6955641.697,"seg1582(1659,1662)",
(4-4),410127.2806,6955634.34,"seg1583(1659,1660)",
(4-4),410145.845,6955621.404,"seg1580(1657,1660)",
(4-4),410154.5779,6955615.763,"seg1581(1657,1658)",
(4-4),410164.4454,6955610.296,"seg1578(1655,1658)",
(4-4),410180.8979,6955602.496,"seg1579(1655,1656)",
(4-4),410194.1734,6955596.944,"seg1576(1653,1656)",
(4-4),410213.3831,6955590.272,"seg1577(1653,1654)",
(4-4),410224.5655,6955587.307,"seg1574(1651,1654)",
(4-4),410243.6059,6955583.514,"seg1575(1651,1652)",
(4-4),410262.3868,6955581.436,"seg1572(1649,1652)",
(4-4),410280.8609,6955580.796,"seg1573(1649,1650)",
(4-4),410295.225,6955581.677,"seg1570(1647,1650)",
(4-4),410305.6375,6955582.695,"seg1571(1647,1648)",
(4-4),410335.0375,6955587.12,"seg1568(1645,1648)",
(4-4),410373.7981,6955594.604,"seg1569(1645,1646)",
(4-4),410404.3773,6955599.868,"seg1566(1643,1646)",
(4-4),410421.7536,6955600.771,"seg1567(1643,1644)",
(4-4),410430.7441,6955600.394,"seg1564(1641,1644)",
(4-4),410450.5219,6955597.049,"seg1565(1641,1642)",
(4-4),410459.7213,6955595.122,"seg1562(1639,1642)",
(4-4),410478.1355,6955589.164,"seg1563(1639,1640)",
