constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id,min_length,max_length
dl_0,1,,,,,
dl_0,31,Gowrie_exit,31,26,0.44,0
dl_0,35,Wyreema_exit,35,28,0.44,0
dl_1,1,,,,,
dl_1,188,Gowrie_exit,188,147,0.44,0
dl_1,35,Wyreema_exit,35,28,0.44,0
dl_2,1,,,,,
dl_2,35,exit_to_Brisbane,35,28,0.44,0
dl_2,28,Gowrie_exit,28,23,0.44,0
dl_3,2,,,,,
dl_3,189,exit_to_Brisbane,30,24,0.44,0
dl_3,35,Wyreema_exit,35,28,0.44,0
dl_3,28,Gowrie_exit,28,23,0.44,0
dl_4,2,,,,,
dl_4,35,Wyreema_exit,35,28,0.44,0
dl_4,28,Gowrie_exit,28,23,0.44,0
dl_4,188,exit_to_Brisbane,188,147,0.44,0
