seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,5,5,6,790,4.7024,0.169
2,0,0,5,1,779,4.6369,0.157
3,0,0,5,1,733,4.3631,0.118
4,0,0,5,1,727,4.3274,0.124
5,0,0,5,1,729,4.3393,0.126
6,0,0,5,1,757,4.5060,0.126
7,0,0,5,1,740,4.4048,0.116
8,0,0,5,1,735,4.3750,0.122
9,0,0,5,1,756,4.5000,0.116
10,0,0,5,1,797,4.7440,0.133
11,0,0,5,1,760,4.5238,0.134
12,0,0,5,1,779,4.6369,0.146
13,0,0,5,1,741,4.4107,0.126
14,0,0,5,1,717,4.2679,0.110
15,0,0,5,1,749,4.4583,0.122
16,0,0,5,1,776,4.6190,0.133
17,0,0,5,1,740,4.4048,0.114
18,0,0,5,1,781,4.6488,0.116
19,0,0,5,1,734,4.3690,0.114
20,0,0,5,1,671,3.9940,0.093
21,0,0,5,1,743,4.4226,0.111
22,0,0,5,1,738,4.3929,0.112
23,0,0,5,1,722,4.2976,0.109
24,0,0,5,1,752,4.4762,0.113
25,0,0,5,1,773,4.6012,0.117
26,0,0,5,1,772,4.5952,0.113
27,0,0,5,1,718,4.2738,0.109
28,0,0,5,1,751,4.4702,0.111
29,0,0,5,1,704,4.1905,0.100
30,0,0,5,1,782,4.6548,0.111
31,0,0,5,1,770,4.5833,0.112
32,0,0,5,1,804,4.7857,0.124
33,0,0,5,1,718,4.2738,0.097
34,0,0,5,1,725,4.3155,0.107
35,0,0,5,1,758,4.5119,0.116
36,0,0,5,1,758,4.5119,0.108
37,0,0,5,1,776,4.6190,0.116
38,0,0,5,1,715,4.2560,0.102
39,0,0,5,1,756,4.5000,0.123
40,0,0,5,1,763,4.5417,0.121
41,0,0,5,1,757,4.5060,0.109
42,0,0,5,1,750,4.4643,0.114
43,0,0,5,1,722,4.2976,0.102
44,0,0,5,1,755,4.4940,0.109
45,0,0,5,1,751,4.4702,0.107
46,0,0,5,1,755,4.4940,0.113
47,0,0,5,1,732,4.3571,0.109
48,0,0,5,1,761,4.5298,0.110
49,0,0,5,1,764,4.5476,0.109
50,0,0,5,1,699,4.1607,0.102
51,0,0,5,1,752,4.4762,0.120
52,0,0,5,1,745,4.4345,0.114
53,0,0,5,1,783,4.6607,0.115
54,0,0,5,1,722,4.2976,0.107
55,0,0,5,1,733,4.3631,0.102
56,0,0,5,1,755,4.4940,0.111
57,0,0,5,1,752,4.4762,0.107
58,0,0,5,1,745,4.4345,0.112
59,0,0,5,1,725,4.3155,0.102
60,0,0,5,1,773,4.6012,0.117
61,0,0,5,1,744,4.4286,0.106
62,0,0,5,1,732,4.3571,0.107
63,0,0,5,1,719,4.2798,0.102
64,0,0,5,1,741,4.4107,0.107
65,0,0,5,1,745,4.4345,0.106
66,0,0,5,1,766,4.5595,0.113
67,0,0,5,1,756,4.5000,0.118
68,0,0,5,1,726,4.3214,0.102
69,0,0,5,1,769,4.5774,0.115
70,0,0,5,1,739,4.3988,0.114
71,0,0,5,1,726,4.3214,0.111
72,0,0,5,1,721,4.2917,0.107
73,0,0,5,1,736,4.3810,0.111
74,0,0,5,1,724,4.3095,0.103
75,0,0,5,1,743,4.4226,0.106
76,0,0,5,1,736,4.3810,0.108
77,0,0,5,1,738,4.3929,0.106
78,0,0,5,1,765,4.5536,0.117
79,0,0,5,1,706,4.2024,0.098
80,0,0,5,1,745,4.4345,0.123
81,0,0,5,1,745,4.4345,0.107
82,0,0,5,1,750,4.4643,0.111
83,0,0,5,1,794,4.7262,0.188
84,0,0,5,1,776,4.6190,0.124
85,0,0,5,1,762,4.5357,0.114
86,0,0,5,1,739,4.3988,0.103
87,0,0,5,1,725,4.3155,0.110
88,0,0,5,1,792,4.7143,0.119
89,0,0,5,1,741,4.4107,0.105
90,0,0,5,1,743,4.4226,0.108
91,0,0,5,1,746,4.4405,0.103
92,0,0,5,1,759,4.5179,0.105
93,0,0,5,1,791,4.7083,0.114
94,0,0,5,1,743,4.4226,0.108
95,0,0,5,1,733,4.3631,0.103
96,0,0,5,1,740,4.4048,0.109
97,0,0,5,1,757,4.5060,0.120
98,0,0,5,1,715,4.2560,0.102
99,0,0,5,1,755,4.4940,0.109
100,0,0,5,1,752,4.4762,0.110
101,0,0,5,1,715,4.2560,0.104
