Tmax,rep,run_t,train_ctr
85065,0,48.243926,357443
90217,1,35.226735,379987
29268,2,10.956256,122971
6363,3,4.649560,26879
22324,4,8.272065,93392
18902,5,7.576186,79137
19787,6,7.611330,83587
99483,7,40.492366,416945
37801,8,14.715818,157966
95297,9,38.271922,400453
13870,10,5.426479,58208
26207,11,10.152097,109904
1102,12,0.430034,4648
6702,13,3.077469,28024
8275,14,3.280903,34852
4330,15,1.676814,17948
95953,16,37.307469,402325
37530,17,14.771033,157528
72204,18,28.547408,303013
16908,19,10.575138,71551
6472,20,2.566716,27368
51261,21,19.859145,215216
81945,22,33.724339,344314
60508,23,24.475895,254158
77457,24,31.514803,327120
86184,25,37.232655,361977
57556,26,23.469082,241439
20647,27,9.473180,86796
17456,28,8.269137,73431
2745,29,1.372417,11737
57353,30,23.729293,240982
73375,31,29.551537,308130
33982,32,13.627333,142854
8124,33,3.213607,34281
46329,34,18.630975,194296
25905,35,10.896041,108495
33348,36,13.460664,139859
20096,37,8.265157,83652
89906,38,39.171761,378239
39891,39,20.319249,167130
8446,40,3.254540,35059
83677,41,40.780997,350881
21463,42,8.531133,89823
16059,43,9.793759,67446
22147,44,9.174161,93153
1660,45,4.753398,6924
33742,46,14.760504,141376
27321,47,14.784128,114241
45914,48,25.833067,192700
91187,49,39.560740,383820
34925,50,15.744327,146483
20698,51,8.728836,87283
94665,52,40.154567,397092
33223,53,13.926521,139854
64873,54,28.835254,271153
90595,55,42.643365,379119
75712,56,36.869991,317892
71033,57,33.912688,298447
87134,58,40.704338,366851
30216,59,17.345392,127174
11744,60,4.910107,48946
56769,61,26.624457,238720
47210,62,21.360307,199096
40936,63,19.153058,172185
78987,64,35.118466,331478
15996,65,6.385461,67273
32749,66,13.270747,137255
11748,67,5.411613,49587
45396,68,18.521890,190978
18715,69,7.507989,78317
65871,70,26.976096,276904
31219,71,12.765751,131963
28198,72,11.787865,118207
82676,73,33.816536,347911
89289,74,35.688133,374458
69611,75,29.276264,292380
88187,76,36.308921,370108
47349,77,19.412744,199166
81569,78,33.761676,343150
98709,79,42.062274,414833
93732,80,42.720311,394132
28159,81,11.421480,118191
56956,82,25.953817,239981
20405,83,8.217948,85898
66737,84,27.849510,280572
79093,85,35.200672,332703
70300,86,28.745020,296201
4315,87,1.756913,18034
63577,88,28.249603,267328
42893,89,17.465063,180102
96865,90,39.684081,406263
50656,91,20.702358,212749
66251,92,27.911081,278256
95580,93,39.752470,402192
19340,94,7.868312,81550
33409,95,15.478033,140606
96672,96,44.838109,405875
88756,97,39.165108,372750
6840,98,2.810250,28765
1370,99,0.935559,5934
