Tmax,rep,run_t,train_ctr
66889,0,34.170302,281444
42294,1,21.080919,177584
35084,2,17.318973,146547
93283,3,46.383284,391950
89313,4,44.173507,374972
8822,5,4.414918,36934
27818,6,14.041401,116270
1404,7,0.698202,5856
5267,8,2.660594,22211
80383,9,40.073789,337123
91791,10,45.917005,385887
25802,11,12.813054,107908
47227,12,23.572390,198331
99529,13,49.713116,417628
644,14,0.337543,2750
86221,15,44.868724,362216
48811,16,25.079422,205262
47876,17,23.736317,201165
84116,18,42.727663,353213
6463,19,3.365696,27362
77000,20,38.596323,323501
62243,21,31.225138,260245
34684,22,17.934410,145814
96034,23,48.501798,403687
35906,24,18.389221,150743
88606,25,45.790584,373592
72734,26,36.652693,304745
52508,27,26.405872,220936
66231,28,33.629535,278284
63306,29,31.699908,265845
60098,30,31.016626,252118
84659,31,43.082095,355873
72436,32,36.737593,304349
79286,33,40.918644,333324
69966,34,35.289670,293434
9926,35,5.031580,41819
1766,36,0.905971,7349
13291,37,6.716793,55805
69845,38,35.922407,294113
30675,39,15.316585,128385
29379,40,14.748532,122619
47640,41,24.873400,200471
98467,42,49.959809,414020
75857,43,38.546622,318256
86732,44,44.896834,364366
28462,45,14.622587,119172
74139,46,37.241048,311422
89601,47,44.725584,376310
35464,48,17.817731,149493
93850,49,47.438030,393670
29600,50,15.262500,124628
27639,51,13.949730,115459
2556,52,1.277354,10605
38215,53,19.412124,160142
16029,54,7.973081,67372
47574,55,23.661740,199794
81917,56,41.115211,344779
6960,57,3.538750,29095
15170,58,7.640740,63386
89784,59,45.023787,377698
72596,60,37.064523,305195
45451,61,22.843191,190429
1001,62,0.488984,4115
66198,63,33.119948,277633
70149,64,35.717348,294860
5100,65,2.559963,21215
22946,66,11.587350,96375
97702,67,50.539927,411631
98902,68,49.824640,416418
82008,69,41.960675,344193
58163,70,30.195392,244694
86199,71,43.779816,362839
75559,72,37.712425,317924
15996,73,8.092149,67362
3838,74,1.944496,16205
55192,75,27.796638,232057
24381,76,12.120366,102636
48820,77,24.330779,204834
12204,78,6.164599,51330
11545,79,5.922079,48301
52545,80,26.389165,220290
80744,81,40.471843,339152
97042,82,48.812814,407325
23251,83,11.939782,98130
6352,84,3.225602,26377
69566,85,34.601039,292252
35963,86,18.397076,150890
30961,87,15.976240,129652
29242,88,14.671065,123100
94687,89,46.762793,398016
90582,90,44.915084,380351
32597,91,16.782054,136563
95830,92,48.083968,402220
76961,93,39.567955,323115
33640,94,17.276836,141372
95335,95,47.358087,399641
46670,96,23.911648,196273
22871,97,11.485553,95673
72315,98,36.390403,303312
43706,99,22.393582,183140
