rep,run_t,avg_speed,train_ctr
0,0.325269,21.897955,91
1,0.016626,28.402867,93
2,0.016793,24.749573,92
3,0.015275,28.076449,97
4,0.014990,29.090017,103
5,0.013350,35.954012,94
6,0.014794,25.630417,87
7,0.014781,28.578227,96
8,0.015763,24.982517,100
9,0.015382,25.979523,91
10,0.015667,25.921748,99
11,0.014379,31.853035,99
12,0.015119,20.477704,90
13,0.015259,19.452569,83
14,0.015308,24.219446,92
15,0.015180,25.413125,89
16,0.016058,26.424883,92
17,0.015517,22.177042,93
18,0.014848,28.955392,97
19,0.015460,16.425358,82
20,0.014104,33.258415,94
21,0.014252,22.379181,83
22,0.014869,27.902662,89
23,0.014686,24.404140,82
24,0.015659,26.328239,89
25,0.015275,19.829339,87
26,0.015337,27.448973,97
27,0.015567,19.983225,81
28,0.014527,34.148714,98
29,0.013903,26.264068,81
30,0.014802,27.816898,93
31,0.014670,20.728299,77
32,0.015591,29.623731,102
33,0.013559,22.138406,75
34,0.014158,26.127670,82
35,0.015417,17.212848,75
36,0.016214,18.932406,77
37,0.015066,27.201312,96
38,0.014305,25.821464,76
39,0.015157,24.192812,90
40,0.015159,31.781750,96
41,0.014976,25.757252,90
42,0.015731,25.291887,90
43,0.015196,30.357742,93
44,0.015411,27.266944,88
45,0.014598,30.689817,84
46,0.014703,24.453227,87
47,0.015293,25.016536,88
48,0.014250,32.782927,95
49,0.015080,29.901506,97
50,0.015572,27.957555,90
51,0.014819,23.021172,92
52,0.014453,30.158341,94
53,0.014609,17.427512,78
54,0.015804,24.519856,94
55,0.014544,23.727084,83
56,0.015056,18.660239,86
57,0.014661,24.426213,87
58,0.013958,31.128730,90
59,0.015154,28.031042,100
60,0.014651,21.192967,87
61,0.015026,30.564277,102
62,0.014670,21.480111,75
63,0.015045,29.103825,87
64,0.015080,30.038750,87
65,0.013869,24.178740,88
66,0.015135,27.345613,97
67,0.015323,27.886122,98
68,0.014641,31.412711,102
69,0.015062,23.366257,91
70,0.015796,27.969938,93
71,0.014192,33.249048,95
72,0.015327,24.603552,85
73,0.015367,29.844592,99
74,0.013889,28.716559,93
75,0.013500,25.920926,77
76,0.015094,28.384670,87
77,0.015320,26.287725,94
78,0.016511,25.488027,98
79,0.015580,27.421291,84
80,0.014696,27.741733,96
81,0.015463,27.126127,96
82,0.015462,19.075525,77
83,0.015278,18.552431,76
84,0.014357,21.716202,74
85,0.016187,20.918873,92
86,0.014592,20.583534,76
87,0.014556,18.527644,69
88,0.015136,26.197362,85
89,0.014328,22.653626,78
