time,corridor_id,train,chainage,arc
0.401997,1,0,31.581712,(160-120)
0.407497,1,0,31.141712,(160-120)
0.425940,1,0,29.666240,(160-120)
0.482121,1,0,25.171795,(159-119)
0.487621,1,0,24.731795,(159-119)
0.492359,1,0,24.352735,(157-29)
0.497859,1,0,23.912735,(157-29)
0.528043,1,0,21.498054,(157-29)
0.571422,1,0,18.027708,(35-28)
0.576922,1,0,17.587708,(35-28)
0.577918,1,0,17.508054,(35-28)
0.605695,1,0,15.563610,(34-27)
0.605961,1,0,15.547653,(33-23)
0.610564,0,0,0.000000,(28-22)
0.610564,1,0,15.705437,(28-22)
0.613029,0,0,0.147855,(28-22)
0.613295,0,0,0.163812,(28-22)
0.617898,0,0,0.440000,(28-22)
0.632060,0,0,1.289730,(28-22)
0.651389,0,0,2.314963,(28-22)
0.659838,0,0,2.678618,(27-21)
0.670838,0,0,3.118618,(27-21)
0.680417,0,0,3.501772,(26-20)
0.691417,0,0,3.941772,(26-20)
0.698603,0,0,4.229220,(24-19)
0.709603,0,0,4.669220,(24-19)
0.769219,1,1,31.581712,(160-120)
0.774719,1,1,31.141712,(160-120)
0.793162,1,1,29.666240,(160-120)
0.793162,1,1,29.666240,(160-120)
0.798623,0,0,8.230035,(24-19)
0.798623,0,0,8.230035,(24-19)
0.827651,0,0,9.391147,(23-17)
0.838651,0,0,9.831147,(23-17)
0.843738,0,0,10.034649,(20-16)
0.849343,1,1,25.171795,(159-119)
0.854738,0,0,10.474649,(20-16)
0.854843,1,1,24.731795,(159-119)
0.859581,1,1,24.352735,(157-29)
0.865081,1,1,23.912735,(157-29)
0.895265,1,1,21.498054,(157-29)
0.912447,0,0,12.782991,(20-16)
0.938644,1,1,18.027708,(35-28)
0.941475,0,0,13.944102,(19-15)
0.943480,1,1,17.640806,(35-28)
0.944144,1,1,17.587708,(35-28)
0.945140,1,1,17.508054,(35-28)
0.952475,0,0,14.384102,(19-15)
0.955027,0,0,14.486200,(17-14)
0.966027,0,0,14.926200,(17-14)
0.972918,1,1,15.563610,(34-27)
0.973183,1,1,15.547653,(32-26)
0.974250,1,1,15.483639,(31-25)
0.978564,1,1,15.224812,(189-147)
0.978564,1,1,15.224812,(189-147)
0.978900,1,1,15.204683,(188-146)
0.978900,1,1,15.204683,(188-146)
0.980251,1,1,15.123610,(188-146)
0.980251,1,1,15.123610,(188-146)
0.980517,1,1,15.107653,(188-146)
0.980517,1,1,15.107653,(188-146)
0.981584,1,1,15.043639,(188-146)
0.981584,1,1,15.043639,(188-146)
0.985897,1,1,14.784812,(188-146)
0.985897,1,1,14.784812,(188-146)
0.985980,1,1,14.779841,(187-130)
0.985980,1,1,14.779841,(187-130)
0.985980,1,1,14.779841,(187-130)
0.986233,1,1,14.764683,(187-130)
0.986233,1,1,14.764683,(187-130)
0.986233,1,1,14.764683,(187-130)
0.986780,1,1,14.731874,(170-131)
0.986780,1,1,14.731874,(170-131)
0.986780,1,1,14.731874,(170-131)
0.993314,1,1,14.339841,(170-131)
0.993314,1,1,14.339841,(170-131)
0.993314,1,1,14.339841,(170-131)
0.994113,1,1,14.291874,(170-131)
0.994113,1,1,14.291874,(170-131)
0.994113,1,1,14.291874,(170-131)
0.997026,1,1,14.117114,(170-131)
0.997026,1,1,14.117114,(170-131)
0.997026,1,1,14.117114,(170-131)
1.012137,0,0,16.770583,(17-14)
1.012137,0,0,16.770583,(17-14)
1.021997,1,2,31.581712,(160-120)
1.027497,1,2,31.141712,(160-120)
1.039526,1,1,11.567114,(171-132)
1.039526,1,1,11.567114,(171-132)
1.039526,1,1,11.567114,(171-132)
1.041165,0,0,17.931694,(216-171)
1.045940,1,2,29.666240,(160-120)
1.045940,1,2,29.666240,(160-120)
1.046859,1,1,11.127114,(171-132)
1.046859,1,1,11.127114,(171-132)
1.046859,1,1,11.127114,(171-132)
1.050576,1,1,10.904093,(173-133)
1.050576,1,1,10.904093,(173-133)
1.050576,1,1,10.904093,(173-133)
1.052063,0,0,18.367616,(218-13)
1.052165,0,0,18.371694,(218-13)
1.057755,1,1,10.464093,(173-133)
1.057755,1,1,10.464093,(173-133)
1.057755,1,1,10.464093,(173-133)
1.061876,0,0,18.760158,(15-2)
1.063063,0,0,18.807616,(15-2)
1.072459,1,1,9.504958,(175-135)
1.072459,1,1,9.504958,(175-135)
1.072459,1,1,9.504958,(175-135)
1.072876,0,0,19.200158,(15-2)
1.078451,1,1,9.091715,(176-136)
1.078451,1,1,9.091715,(176-136)
1.078451,1,1,9.091715,(176-136)
1.078833,1,1,9.064958,(176-136)
1.078833,1,1,9.064958,(176-136)
1.078833,1,1,9.064958,(176-136)
1.084636,1,1,8.651715,(176-136)
1.084636,1,1,8.651715,(176-136)
1.084636,1,1,8.651715,(176-136)
1.102121,1,2,25.171795,(159-119)
1.106132,1,1,7.015204,(176-136)
1.106132,1,1,7.015204,(176-136)
1.106132,1,1,7.015204,(176-136)
1.107621,1,2,24.731795,(159-119)
1.112359,1,2,24.352735,(157-29)
1.117859,1,2,23.912735,(157-29)
1.137641,1,1,4.494444,(176-136)
1.137641,1,1,4.494444,(176-136)
1.137641,1,1,4.494444,(176-136)
1.137641,1,1,4.494444,(176-136)
1.137641,1,1,4.494444,(176-136)
1.137641,1,1,4.494444,(176-136)
1.148043,1,2,21.498054,(157-29)
1.148043,1,2,21.498054,(157-29)
1.156351,0,0,22.539134,(15-2)
1.185378,0,0,23.700245,(2-3)
1.191422,1,2,18.027708,(35-28)
1.193822,1,1,0.000000,(220-173)
1.193822,1,1,0.000000,(220-173)
1.193822,1,1,0.000000,(220-173)
1.196378,0,0,24.140245,(2-3)
1.196922,1,2,17.587708,(35-28)
1.197918,1,2,17.508054,(35-28)
1.206199,0,0,24.533073,(4-4)
1.217199,0,0,24.973073,(4-4)
1.225695,1,2,15.563610,(34-27)
1.225961,1,2,15.547653,(33-23)
1.230564,0,2,0.000000,(28-22)
1.230564,1,2,15.705437,(28-22)
1.233029,0,2,0.147855,(28-22)
1.233295,0,2,0.163812,(28-22)
1.237898,0,2,0.440000,(28-22)
1.250872,1,3,0.000000,(176-135)
1.252060,0,2,1.289730,(28-22)
1.257325,1,3,0.440000,(176-135)
1.271389,0,2,2.314963,(28-22)
1.279838,0,2,2.678618,(27-21)
1.286914,1,3,2.649518,(176-135)
1.290838,0,2,3.118618,(27-21)
1.300416,0,2,3.501772,(26-20)
1.308621,0,0,28.629953,(4-4)
1.308621,0,0,28.629953,(4-4)
1.311416,0,2,3.941772,(26-20)
1.318603,0,2,4.229220,(24-19)
1.329603,0,2,4.669220,(24-19)
1.333916,1,3,6.409649,(176-135)
1.333916,1,3,6.409649,(176-135)
1.337649,0,0,29.791064,(11-10)
1.348152,0,0,30.231064,(11-10)
1.357439,0,0,30.653181,(10-8)
1.361281,0,0,30.836900,(9-9)
1.366465,0,0,31.093181,(9-9)
1.367441,1,3,9.091715,(175-133)
1.370066,0,0,31.276900,(9-9)
1.372607,1,3,9.504958,(173-132)
1.372941,1,3,9.531715,(173-132)
1.374078,1,3,9.622670,(173-132)
1.378183,1,3,9.944958,(173-132)
1.391455,1,3,10.904093,(171-131)
1.398218,1,3,11.344093,(171-131)
1.401856,1,3,11.567114,(170-130)
1.409189,1,3,12.007114,(170-130)
1.418623,0,2,8.230035,(24-19)
1.419982,1,3,12.654683,(170-130)
1.424631,1,3,12.933639,(170-130)
1.447651,0,2,9.391147,(23-17)
1.448760,0,0,36.457731,(9-9)
1.454602,1,3,14.731874,(187-146)
1.455402,1,3,14.779841,(188-147)
1.458651,0,2,9.831147,(23-17)
1.461935,1,3,15.171874,(188-147)
1.462482,1,3,15.204683,(189-25)
1.462735,1,3,15.219841,(189-25)
1.462818,1,3,15.224812,(31-26)
1.463738,0,2,10.034649,(20-16)
1.467131,1,3,15.483639,(32-27)
1.467419,1,3,15.500914,(32-27)
1.468198,1,3,15.547653,(34-28)
1.468198,1,3,15.547653,(34-28)
1.468464,1,3,15.563610,(35-29)
1.468464,1,3,15.563610,(35-29)
1.469808,1,3,15.644683,(35-29)
1.469808,1,3,15.644683,(35-29)
1.470140,1,3,15.664812,(35-29)
1.470140,1,3,15.664812,(35-29)
1.474351,1,3,15.923639,(35-29)
1.474351,1,3,15.923639,(35-29)
1.474738,0,2,10.474649,(20-16)
1.475377,1,3,15.987653,(35-29)
1.475377,1,3,15.987653,(35-29)
1.475632,1,3,16.003610,(35-29)
1.475632,1,3,16.003610,(35-29)
1.503451,0,0,40.832984,(9-9)
1.505384,1,3,18.027708,(157-119)
1.505384,1,3,18.027708,(157-119)
1.511294,1,3,18.467708,(157-119)
1.511294,1,3,18.467708,(157-119)
1.523754,1,3,19.436542,(157-119)
1.523754,1,3,19.436542,(157-119)
1.529026,1,3,19.858291,(157-119)
1.529026,1,3,19.858291,(157-119)
1.532447,0,2,12.782991,(20-16)
1.561475,0,2,13.944102,(19-15)
1.572475,0,2,14.384102,(19-15)
1.575027,0,2,14.486200,(17-14)
1.585206,1,3,24.352735,(159-120)
1.585206,1,3,24.352735,(159-120)
1.586027,0,2,14.926200,(17-14)
1.590706,1,3,24.792735,(159-120)
1.590706,1,3,24.792735,(159-120)
1.595445,1,3,25.171795,(160-121)
1.595445,1,3,25.171795,(160-121)
1.600945,1,3,25.611795,(160-121)
1.600945,1,3,25.611795,(160-121)
1.614562,0,0,45.277429,(9-9)
1.619388,1,3,27.087267,(160-121)
1.619388,1,3,27.087267,(160-121)
1.632137,0,2,16.770583,(17-14)
1.632137,0,2,16.770583,(17-14)
1.661165,0,2,17.931694,(216-171)
1.672063,0,2,18.367616,(218-13)
1.672165,0,2,18.371694,(218-13)
1.675569,1,3,31.581712,(222-174)
1.675569,1,3,31.581712,(222-174)
1.681876,0,2,18.760158,(15-2)
1.683063,0,2,18.807616,(15-2)
1.692876,0,2,19.200158,(15-2)
1.776351,0,2,22.539134,(15-2)
1.805378,0,2,23.700245,(2-3)
1.816378,0,2,24.140245,(2-3)
1.826199,0,2,24.533073,(4-4)
1.837199,0,2,24.973073,(4-4)
1.928621,0,2,28.629953,(4-4)
1.928621,0,2,28.629953,(4-4)
1.957649,0,2,29.791064,(11-10)
1.968152,0,2,30.231064,(11-10)
1.977439,0,2,30.653181,(10-8)
1.981281,0,2,30.836900,(9-9)
1.986465,0,2,31.093181,(9-9)
1.990066,0,2,31.276900,(9-9)
2.068760,0,2,36.457731,(9-9)
2.123451,0,2,40.832984,(9-9)
2.234562,0,2,45.277429,(9-9)
2.985006,1,4,31.581712,(160-120)
2.990506,1,4,31.141712,(160-120)
3.008949,1,4,29.666240,(160-120)
3.008949,1,4,29.666240,(160-120)
3.065130,1,4,25.171795,(159-119)
3.070630,1,4,24.731795,(159-119)
3.075368,1,4,24.352735,(157-29)
3.080868,1,4,23.912735,(157-29)
3.111051,1,4,21.498054,(157-29)
3.154431,1,4,18.027708,(35-28)
3.159267,1,4,17.640806,(35-28)
3.159931,1,4,17.587708,(35-28)
3.160926,1,4,17.508054,(35-28)
3.188704,1,4,15.563610,(34-27)
3.188970,1,4,15.547653,(32-26)
3.190037,1,4,15.483639,(31-25)
3.194351,1,4,15.224812,(189-147)
3.194351,1,4,15.224812,(189-147)
3.194686,1,4,15.204683,(188-146)
3.194686,1,4,15.204683,(188-146)
3.196038,1,4,15.123610,(188-146)
3.196038,1,4,15.123610,(188-146)
3.196303,1,4,15.107653,(188-146)
3.196303,1,4,15.107653,(188-146)
3.197370,1,4,15.043639,(188-146)
3.197370,1,4,15.043639,(188-146)
3.201684,1,4,14.784812,(188-146)
