rep,run_t,avg_speed,train_ctr
0,0.071627,17.312930,68
1,0.014652,17.379158,67
2,0.014098,18.891523,70
3,0.013138,15.501650,66
4,0.012790,15.402489,66
5,0.012927,15.925465,66
6,0.013275,15.396900,67
7,0.014225,15.152839,76
8,0.013698,18.199081,66
9,0.013826,15.995408,67
10,0.013724,17.455878,70
11,0.013071,15.546676,67
12,0.013118,17.228770,66
13,0.013914,16.262093,67
14,0.014924,23.056206,82
15,0.013813,18.263963,72
16,0.013564,15.850834,67
17,0.014329,16.526844,70
18,0.013393,15.485785,67
19,0.013605,16.199009,67
20,0.014793,20.117693,78
21,0.014357,16.339232,67
22,0.013914,15.484329,67
23,0.013540,16.529756,67
24,0.013923,17.695455,70
25,0.013993,15.794190,67
26,0.013507,15.509807,67
27,0.014056,15.722862,66
28,0.013092,15.734147,67
29,0.013566,15.545203,66
30,0.014632,16.825106,71
31,0.014213,17.097982,66
32,0.013722,16.429904,66
33,0.014004,16.780509,67
34,0.013698,16.243473,66
35,0.014054,15.925461,66
36,0.014121,18.108172,70
37,0.013602,15.793247,66
38,0.015341,24.120312,86
39,0.014053,25.341122,79
40,0.013425,17.420947,66
41,0.013842,17.309984,66
42,0.014578,18.651875,73
43,0.013747,18.006154,67
44,0.013317,15.839076,66
45,0.013315,15.713510,66
46,0.013676,17.380324,67
47,0.014814,23.153044,87
48,0.013355,15.639340,67
49,0.013448,15.573285,66
50,0.013433,15.427174,66
51,0.013772,15.454496,67
52,0.013257,15.466251,66
53,0.015157,16.922238,79
54,0.013325,16.454186,67
55,0.013567,16.218322,66
56,0.013219,16.605385,67
57,0.013339,15.398196,67
58,0.014724,20.796567,77
59,0.013285,16.526066,66
60,0.013614,16.167697,67
61,0.015106,16.743912,75
62,0.013570,15.519934,67
63,0.013970,15.898991,67
64,0.014027,15.589383,67
65,0.013547,15.502681,66
66,0.014286,15.971430,68
67,0.013563,15.399724,67
68,0.013940,15.482373,66
69,0.013513,15.761800,66
70,0.014005,16.279092,66
71,0.013970,15.563872,66
72,0.014701,17.724037,72
73,0.013545,15.989142,66
74,0.013249,16.273229,66
75,0.013894,18.044732,67
76,0.013459,15.777563,66
77,0.013189,16.181963,66
78,0.013759,17.508232,67
79,0.015058,20.365935,79
80,0.014998,17.016203,75
81,0.014855,19.646203,73
82,0.013334,15.406635,67
83,0.014678,20.128066,80
84,0.013741,16.514474,67
85,0.013369,15.713397,66
86,0.013367,16.101326,67
87,0.013272,15.371857,67
88,0.013560,15.447304,66
89,0.014303,16.251820,73
90,0.013818,18.569279,69
91,0.013927,18.466523,70
92,0.014530,18.574348,73
93,0.014085,16.843599,66
94,0.013846,16.567287,67
95,0.014403,16.871824,69
96,0.013623,16.751380,66
97,0.013343,15.366337,67
98,0.014629,18.636943,75
99,0.014285,15.692144,72
100,0.013616,15.952479,66
101,0.015209,24.360892,93
102,0.013816,14.988853,74
103,0.013650,15.419820,67
104,0.013869,16.073813,66
105,0.013869,17.177278,67
106,0.013165,18.734865,67
107,0.013646,17.986266,67
108,0.013316,15.525626,67
109,0.014575,19.676605,72
110,0.014245,16.311388,66
111,0.013934,15.642195,66
112,0.014255,16.530129,66
113,0.013458,15.501281,67
114,0.013754,17.706588,65
115,0.013709,15.478572,67
116,0.013315,15.368733,67
117,0.014170,16.149407,66
