segment1,segment2
0,3
2,1
2,3
5,11
6,14
6,12
8,13
8,10
12,10
16,218
16,216
18,19
19,18
21,23
21,215
22,23
25,26
26,25
28,214
29,33
30,206
31,30
31,161
32,33
35,143
36,35
37,113
38,124
39,146
40,41
41,40
43,42
44,149
44,147
45,46
46,123
47,48
125,49
50,51
52,126
53,139
54,105
54,55
56,55
57,138
58,64
59,58
60,65
61,62
63,64
67,66
68,137
68,136
69,70
71,70
73,93
74,78
75,74
76,79
77,78
79,80
81,128
82,131
82,129
83,128
84,85
87,101
88,87
89,97
89,97
90,91
94,92
95,96
99,100
101,127
102,111
104,103
105,106
106,110
107,109
110,109
112,114
115,117
116,115
117,118
119,118
120,119
120,121
123,122
130,129
137,132
134,135
134,133
135,133
135,136
141,144
141,145
142,144
148,154
148,150
151,155
152,156
152,156
153,155
158,159
159,158
161,211
163,208
164,207
164,190
166,167
168,169
169,187
171,172
172,171
174,175
177,175
178,186
179,180
180,182
183,182
185,183
188,191
190,188
192,191
193,201
194,200
195,197
196,199
197,196
202,205
203,204
209,210
213,211
217,216
219,220
221,222
