iteration,deadlock_found,deadlock_time,new_constraints,constraint_details,total_constraints,trains_completed,trains_per_hr,avg_wait_time,avg_spawn_delay,sim_run_time,pruning_details
0,1,8.000000,1,dl_2000(2),2001,0,0.000000,0.000000,0.000000,0.009559,
1,1,8.000000,1,dl_2001(3),2002,0,0.000000,0.000000,0.000000,0.011596,
2,1,8.000000,1,dl_2002(2),2003,0,0.000000,0.000000,0.000000,0.009936,
3,1,8.000000,1,dl_2003(3),2004,0,0.000000,0.000000,0.000000,0.009934,
4,1,8.000000,1,dl_2004(3),2005,0,0.000000,0.000000,0.000000,0.006230,
5,1,8.000000,1,dl_2005(3),2006,0,0.000000,0.000000,0.000000,0.007741,
6,1,8.000000,1,dl_2006(2),2007,0,0.000000,0.000000,0.000000,0.008282,
7,1,8.000000,1,dl_2007(2),2008,0,0.000000,0.000000,0.000000,0.006603,
8,1,8.000000,1,dl_2008(3),2009,0,0.000000,0.000000,0.000000,0.005395,
9,1,8.000000,1,dl_2009(4),2010,0,0.000000,0.000000,0.000000,0.005798,
10,1,8.000000,1,dl_2010(4),2011,0,0.000000,0.000000,0.000000,0.005924,
11,1,8.000000,1,dl_2011(3),2012,0,0.000000,0.000000,0.000000,0.007519,
12,1,8.000000,1,dl_2012(4),2013,0,0.000000,0.000000,0.000000,0.006952,
13,1,8.000000,1,dl_2013(4),2014,0,0.000000,0.000000,0.000000,0.011082,
14,1,8.000000,1,dl_2014(2),2015,0,0.000000,0.000000,0.000000,0.009076,
15,1,8.000000,1,dl_2015(3),2016,0,0.000000,0.000000,0.000000,0.012244,
16,1,8.000000,1,dl_2016(4),2017,0,0.000000,0.000000,0.000000,0.010477,
17,1,8.000000,1,dl_2017(4),2018,0,0.000000,0.000000,0.000000,0.008163,
18,1,8.000000,1,dl_2018(3),2019,0,0.000000,0.000000,0.000000,0.009282,
19,1,8.000000,1,dl_2019(4),2020,0,0.000000,0.000000,0.000000,0.005766,
20,1,8.000000,1,dl_2020(4),2021,0,0.000000,0.000000,0.000000,0.006838,
21,1,8.000000,1,dl_2021(3),2022,0,0.000000,0.000000,0.000000,0.006046,
22,1,8.000000,1,dl_2022(3),2023,0,0.000000,0.000000,0.000000,0.007891,
23,1,8.000000,1,dl_2023(2),2024,0,0.000000,0.000000,0.000000,0.009495,
24,1,8.000000,1,dl_2024(3),2025,0,0.000000,0.000000,0.000000,0.005829,
25,1,8.000000,1,dl_2025(3),2026,0,0.000000,0.000000,0.000000,0.007980,
26,1,8.000000,1,dl_2026(2),2027,0,0.000000,0.000000,0.000000,0.008853,
27,1,8.000000,1,dl_2027(3),2028,0,0.000000,0.000000,0.000000,0.008226,
28,1,8.000000,1,dl_2028(3),2029,0,0.000000,0.000000,0.000000,0.008233,
29,1,8.000000,1,dl_2029(4),2030,0,0.000000,0.000000,0.000000,0.009421,
30,1,8.000000,1,dl_2030(4),2031,0,0.000000,0.000000,0.000000,0.005494,4>3[-T24]
31,1,8.000000,1,dl_2031(4),2032,0,0.000000,0.000000,0.000000,0.005348,
32,1,8.000000,1,dl_2032(4),2033,0,0.000000,0.000000,0.000000,0.005616,4>3[-T24]
