path_id,waypt_x,waypt_y,line_id,warnings
(0-1),0.0,0.0,,
(0-1),60.0,0.0,,
(1-0),60.0,0.0,,
(1-0),0.0,0.0,,
(2-2),60.0,0.0,,
(2-2),160.0,0.0,,
(2-1),160.0,0.0,,
(2-1),60.0,0.0,,
(3-2),260.0,0.0,,
(3-2),160.0,0.0,,
(3-3),160.0,0.0,,
(3-3),260.0,0.0,,
(4-3),160.0,0.0,,
(4-3),175.0,15.0,,
(4-3),245.0,15.0,,
(4-3),260.0,0.0,,
(4-2),260.0,0.0,,
(4-2),245.0,15.0,,
(4-2),175.0,15.0,,
(4-2),160.0,0.0,,
(5-4),260.0,0.0,,
(5-4),360.0,0.0,,
(5-3),360.0,0.0,,
(5-3),260.0,0.0,,
(6-4),460.0,0.0,,
(6-4),360.0,0.0,,
(6-5),360.0,0.0,,
(6-5),460.0,0.0,,
(7-5),360.0,0.0,,
(7-5),375.0,15.0,,
(7-5),445.0,15.0,,
(7-5),460.0,0.0,,
(7-4),460.0,0.0,,
(7-4),445.0,15.0,,
(7-4),375.0,15.0,,
(7-4),360.0,0.0,,
(8-6),460.0,0.0,,
(8-6),560.0,0.0,,
(8-5),560.0,0.0,,
(8-5),460.0,0.0,,
(9-6),660.0,0.0,,
(9-6),560.0,0.0,,
(9-7),560.0,0.0,,
(9-7),660.0,0.0,,
(10-7),560.0,0.0,,
(10-7),575.0,15.0,,
(10-7),645.0,15.0,,
(10-7),660.0,0.0,,
(10-6),660.0,0.0,,
(10-6),645.0,15.0,,
(10-6),575.0,15.0,,
(10-6),560.0,0.0,,
(11-8),660.0,0.0,,
(11-8),760.0,0.0,,
(11-7),760.0,0.0,,
(11-7),660.0,0.0,,
(12-8),860.0,0.0,,
(12-8),760.0,0.0,,
(12-9),760.0,0.0,,
(12-9),860.0,0.0,,
(13-9),760.0,0.0,,
(13-9),775.0,15.0,,
(13-9),845.0,15.0,,
(13-9),860.0,0.0,,
(13-8),860.0,0.0,,
(13-8),845.0,15.0,,
(13-8),775.0,15.0,,
(13-8),760.0,0.0,,
(14-10),860.0,0.0,,
(14-10),960.0,0.0,,
(14-9),960.0,0.0,,
(14-9),860.0,0.0,,
(15-10),1060.0,0.0,,
(15-10),960.0,0.0,,
(15-11),960.0,0.0,,
(15-11),1060.0,0.0,,
(16-11),960.0,0.0,,
(16-11),975.0,15.0,,
(16-11),1045.0,15.0,,
(16-11),1060.0,0.0,,
(16-10),1060.0,0.0,,
(16-10),1045.0,15.0,,
(16-10),975.0,15.0,,
(16-10),960.0,0.0,,
(17-12),1060.0,0.0,,
(17-12),1160.0,0.0,,
(17-11),1160.0,0.0,,
(17-11),1060.0,0.0,,
(18-12),1260.0,0.0,,
(18-12),1160.0,0.0,,
(18-13),1160.0,0.0,,
(18-13),1260.0,0.0,,
(19-13),1160.0,0.0,,
(19-13),1175.0,15.0,,
(19-13),1245.0,15.0,,
(19-13),1260.0,0.0,,
