id,tail,head,length,direction,comment,comment 2
0,0,1,1.000000,0,West spawn,
1,1,0,0.500000,0,West exit,
2,1,2,1.634000,1,West corridor to PL_0,
3,3,2,0.700000,1,PL_0 main line,
4,2,3,0.700000,1,PL_0 siding,
5,3,4,2.347000,1,Corridor PL_0 to PL_1,
6,5,4,0.700000,1,PL_1 main line,
7,4,5,0.700000,1,PL_1 siding,
8,5,6,2.264000,1,Corridor PL_1 to PL_2,
9,7,6,0.700000,1,PL_2 main line,
10,6,7,0.700000,1,PL_2 siding,
11,7,8,1.755000,1,Corridor PL_2 to PL_3,
12,9,8,0.700000,1,PL_3 main line,
13,8,9,0.700000,1,PL_3 siding,
14,9,10,1.995000,1,Corridor PL_3 to PL_4,
15,11,10,0.700000,1,PL_4 main line,
16,10,11,0.700000,1,PL_4 siding,
17,11,12,1.949000,1,Corridor PL_4 to East,
18,13,12,1.000000,0,East spawn,
19,12,13,0.500000,0,East exit,
20,14,1,1.000000,0,West spawn long,
21,1,14,0.500000,0,West exit long,
22,15,12,1.000000,0,East spawn long,
23,12,15,0.500000,0,East exit long,
