pl_id,segment,head,margin,opp_speed_lim,arc_type,max_length,comment
0,2,2,0.05,40,APPR0,0.0,PL_0 appr from west
0,5,3,0.05,40,APPR1,0.0,PL_0 appr from east
0,3,2,0.05,0,ML1,0.7,PL_0 ML WB
0,3,3,0.05,0,ML0,0.7,PL_0 ML EB
0,4,2,0.05,20,S1,0.7,PL_0 siding WB
0,4,3,0.05,20,S0,0.7,PL_0 siding EB
1,5,4,0.05,40,APPR0,0.0,PL_1 appr from west
1,8,5,0.05,40,APPR1,0.0,PL_1 appr from east
1,6,4,0.05,0,ML1,0.7,PL_1 ML WB
1,6,5,0.05,0,ML0,0.7,PL_1 ML EB
1,7,4,0.05,20,S1,0.7,PL_1 siding WB
1,7,5,0.05,20,S0,0.7,PL_1 siding EB
2,8,6,0.05,40,APPR0,0.0,PL_2 appr from west
2,11,7,0.05,40,APPR1,0.0,PL_2 appr from east
2,9,6,0.05,0,ML1,0.7,PL_2 ML WB
2,9,7,0.05,0,ML0,0.7,PL_2 ML EB
2,10,6,0.05,20,S1,0.7,PL_2 siding WB
2,10,7,0.05,20,S0,0.7,PL_2 siding EB
3,11,8,0.05,40,APPR0,0.0,PL_3 appr from west
3,14,9,0.05,40,APPR1,0.0,PL_3 appr from east
3,12,8,0.05,0,ML1,0.7,PL_3 ML WB
3,12,9,0.05,0,ML0,0.7,PL_3 ML EB
3,13,8,0.05,20,S1,0.7,PL_3 siding WB
3,13,9,0.05,20,S0,0.7,PL_3 siding EB
4,14,10,0.05,40,APPR0,0.0,PL_4 appr from west
4,17,11,0.05,40,APPR1,0.0,PL_4 appr from east
4,15,10,0.05,0,ML1,0.7,PL_4 ML WB
4,15,11,0.05,0,ML0,0.7,PL_4 ML EB
4,16,10,0.05,20,S1,0.7,PL_4 siding WB
4,16,11,0.05,20,S0,0.7,PL_4 siding EB
5,17,12,0.05,40,APPR0,0.0,PL_5 appr from west
5,20,13,0.05,40,APPR1,0.0,PL_5 appr from east
5,18,12,0.05,0,ML1,0.7,PL_5 ML WB
5,18,13,0.05,0,ML0,0.7,PL_5 ML EB
5,19,12,0.05,20,S1,0.7,PL_5 siding WB
5,19,13,0.05,20,S0,0.7,PL_5 siding EB
6,20,14,0.05,40,APPR0,0.0,PL_6 appr from west
6,23,15,0.05,40,APPR1,0.0,PL_6 appr from east
6,21,14,0.05,0,ML1,0.7,PL_6 ML WB
6,21,15,0.05,0,ML0,0.7,PL_6 ML EB
6,22,14,0.05,20,S1,0.7,PL_6 siding WB
6,22,15,0.05,20,S0,0.7,PL_6 siding EB
7,23,16,0.05,40,APPR0,0.0,PL_7 appr from west
7,26,17,0.05,40,APPR1,0.0,PL_7 appr from east
7,24,16,0.05,0,ML1,0.7,PL_7 ML WB
7,24,17,0.05,0,ML0,0.7,PL_7 ML EB
7,25,16,0.05,20,S1,0.7,PL_7 siding WB
7,25,17,0.05,20,S0,0.7,PL_7 siding EB
8,26,18,0.05,40,APPR0,0.0,PL_8 appr from west
8,29,19,0.05,40,APPR1,0.0,PL_8 appr from east
8,27,18,0.05,0,ML1,0.7,PL_8 ML WB
8,27,19,0.05,0,ML0,0.7,PL_8 ML EB
8,28,18,0.05,20,S1,0.7,PL_8 siding WB
8,28,19,0.05,20,S0,0.7,PL_8 siding EB
9,29,20,0.05,40,APPR0,0.0,PL_9 appr from west
9,32,21,0.05,40,APPR1,0.0,PL_9 appr from east
9,30,20,0.05,0,ML1,0.7,PL_9 ML WB
9,30,21,0.05,0,ML0,0.7,PL_9 ML EB
9,31,20,0.05,20,S1,0.7,PL_9 siding WB
9,31,21,0.05,20,S0,0.7,PL_9 siding EB
