N,rate,safe_tested,noop,noop_frac,diverge_seeds
2,2.75,0,0,0,
2,2.50,2,2,1.0000,
5,3.00,0,0,0,
10,2.75,1,1,1.0000,
5,2.75,1,1,1.0000,
2,3.00,64,64,1.0000,
5,2.00,1604,1604,1.0000,
2,2.00,499,499,1.0000,
10,3.00,1,1,1.0000,
10,2.00,822,822,1.0000,
5,2.50,22,22,1.0000,
5,1.00,9687,9687,1.0000,
10,2.50,8,8,1.0000,
10,1.00,8816,8816,1.0000,
15,2.50,24,24,1.0000,
2,1.00,9165,9165,1.0000,
15,2.75,0,0,0,
20,2.00,634,634,1.0000,
15,2.00,1590,1590,1.0000,
15,1.00,9601,9601,1.0000,
20,1.00,9487,9487,1.0000,
20,2.50,1,1,1.0000,
15,3.00,0,0,0,
20,2.75,0,0,0,
20,3.00,0,0,0,
20,3.00,0,0,0,
