seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,avg_wait_time,cpu_time
1,0,0,0,1,441,2.6250,0.0895,0.064
2,1,1,1,2,419,2.4940,0.0745,0.091
3,0,0,1,1,401,2.3869,0.0658,0.058
4,0,0,1,1,408,2.4286,0.0732,0.060
5,0,0,1,1,413,2.4583,0.0792,0.057
6,0,0,1,1,440,2.6190,0.0711,0.063
7,0,0,1,1,402,2.3929,0.0698,0.057
8,0,0,1,1,394,2.3452,0.0673,0.057
9,0,0,1,1,405,2.4107,0.0716,0.064
10,1,2,3,3,465,2.7679,0.0849,0.110
11,0,0,3,1,412,2.4524,0.0784,0.059
12,0,0,3,1,456,2.7143,0.0777,0.064
13,0,0,3,1,393,2.3393,0.0736,0.058
14,0,0,3,1,407,2.4226,0.0682,0.057
15,0,0,3,1,398,2.3690,0.0669,0.062
16,0,0,3,1,427,2.5417,0.0751,0.068
17,0,0,3,1,394,2.3452,0.0636,0.063
18,0,0,3,1,466,2.7738,0.0896,0.071
19,0,0,3,1,416,2.4762,0.0745,0.065
20,0,0,3,1,391,2.3274,0.0692,0.060
21,0,0,3,1,417,2.4821,0.0726,0.066
22,0,0,3,1,399,2.3750,0.0646,0.060
23,0,0,3,1,418,2.4881,0.0824,0.062
24,0,0,3,1,394,2.3452,0.0677,0.056
25,0,0,3,1,428,2.5476,0.0820,0.061
26,0,0,3,1,432,2.5714,0.0733,0.061
27,0,0,3,1,391,2.3274,0.0743,0.055
28,0,0,3,1,444,2.6429,0.0779,0.065
29,0,0,3,1,376,2.2381,0.0660,0.057
30,0,0,3,1,450,2.6786,0.0868,0.070
31,0,0,3,1,441,2.6250,0.0838,0.071
32,0,0,3,1,447,2.6607,0.0760,0.066
33,0,0,3,1,389,2.3155,0.0654,0.056
34,0,0,3,1,435,2.5893,0.0773,0.065
35,0,0,3,1,419,2.4940,0.0842,0.064
36,0,0,3,1,423,2.5179,0.0718,0.066
37,0,0,3,1,432,2.5714,0.0819,0.070
38,0,0,3,1,388,2.3095,0.0744,0.061
39,0,0,3,1,427,2.5417,0.0764,0.067
40,1,1,4,2,433,2.5774,0.0868,0.099
41,0,0,4,1,431,2.5655,0.0785,0.067
42,0,0,4,1,409,2.4345,0.0792,0.064
43,0,0,4,1,397,2.3631,0.0668,0.062
44,0,0,4,1,442,2.6310,0.0995,0.068
45,0,0,4,1,433,2.5774,0.0772,0.062
46,0,0,4,1,437,2.6012,0.0785,0.064
47,0,0,4,1,394,2.3452,0.0700,0.059
48,1,2,6,3,430,2.5595,0.0783,0.103
49,0,0,6,1,418,2.4881,0.0804,0.062
50,0,0,6,1,415,2.4702,0.0714,0.065
51,0,0,6,1,403,2.3988,0.0752,0.062
52,0,0,6,1,426,2.5357,0.0737,0.067
53,0,0,6,1,461,2.7440,0.0918,0.070
54,0,0,6,1,387,2.3036,0.0756,0.060
55,0,0,6,1,404,2.4048,0.0724,0.063
56,0,0,6,1,432,2.5714,0.0822,0.065
57,1,1,7,2,433,2.5774,0.0819,0.071
58,0,0,7,1,434,2.5833,0.0795,0.061
59,0,0,7,1,387,2.3036,0.0713,0.055
60,0,0,7,1,427,2.5417,0.0908,0.066
61,1,1,8,2,391,2.3274,0.0868,0.076
62,0,0,8,1,406,2.4167,0.0723,0.065
63,0,0,8,1,389,2.3155,0.0655,0.056
64,0,0,8,1,421,2.5060,0.0815,0.064
65,0,0,8,1,393,2.3393,0.0660,0.061
66,0,0,8,1,416,2.4762,0.0832,0.068
67,0,0,8,1,404,2.4048,0.0673,0.064
68,0,0,8,1,391,2.3274,0.0650,0.061
69,0,0,8,1,434,2.5833,0.0822,0.066
70,0,0,8,1,425,2.5298,0.0784,0.068
71,0,0,8,1,416,2.4762,0.0802,0.066
72,0,0,8,1,403,2.3988,0.0622,0.062
73,0,0,8,1,412,2.4524,0.0614,0.062
74,0,0,8,1,384,2.2857,0.0775,0.058
75,0,0,8,1,415,2.4702,0.0790,0.064
76,0,0,8,1,427,2.5417,0.0857,0.068
77,0,0,8,1,420,2.5000,0.0739,0.065
78,0,0,8,1,427,2.5417,0.0736,0.066
79,0,0,8,1,402,2.3929,0.0808,0.062
80,0,0,8,1,418,2.4881,0.0782,0.066
81,0,0,8,1,421,2.5060,0.0733,0.064
82,0,0,8,1,430,2.5595,0.0874,0.065
83,0,0,8,1,450,2.6786,0.0731,0.068
84,0,0,8,1,417,2.4821,0.0720,0.063
85,0,0,8,1,455,2.7083,0.0818,0.067
86,0,0,8,1,414,2.4643,0.0743,0.057
87,0,0,8,1,413,2.4583,0.0688,0.062
88,0,0,8,1,445,2.6488,0.0780,0.066
89,0,0,8,1,421,2.5060,0.0745,0.059
90,0,0,8,1,435,2.5893,0.0872,0.064
91,0,0,8,1,396,2.3571,0.0812,0.057
92,0,0,8,1,429,2.5536,0.0785,0.062
93,0,0,8,1,446,2.6548,0.0948,0.066
94,0,0,8,1,400,2.3810,0.0696,0.057
95,0,0,8,1,392,2.3333,0.0731,0.054
96,0,0,8,1,425,2.5298,0.0751,0.062
97,0,0,8,1,408,2.4286,0.0669,0.064
98,0,0,8,1,413,2.4583,0.0819,0.060
99,0,0,8,1,410,2.4405,0.0821,0.061
100,0,0,8,1,435,2.5893,0.0730,0.067
101,0,0,8,1,418,2.4881,0.0722,0.059
102,0,0,8,1,415,2.4702,0.0799,0.059
103,0,0,8,1,435,2.5893,0.0778,0.063
104,1,4,12,5,455,2.7083,0.0870,0.163
105,0,0,12,1,404,2.4048,0.0603,0.056
106,0,0,12,1,404,2.4048,0.0733,0.058
107,0,0,12,1,419,2.4940,0.0753,0.062
108,0,0,12,1,413,2.4583,0.0730,0.060
109,0,0,12,1,435,2.5893,0.0687,0.064
110,1,2,14,3,419,2.4940,0.0850,0.171
111,0,0,14,1,427,2.5417,0.0765,0.063
112,0,0,14,1,437,2.6012,0.0722,0.064
113,0,0,14,1,408,2.4286,0.0715,0.060
114,1,1,15,2,412,2.4524,0.0726,0.061
115,0,0,15,1,411,2.4464,0.0767,0.060
116,0,0,15,1,423,2.5179,0.0672,0.064
117,0,0,15,1,434,2.5833,0.0782,0.064
118,0,0,15,1,422,2.5119,0.0796,0.065
119,0,0,15,1,425,2.5298,0.0737,0.064
120,0,0,15,1,380,2.2619,0.0632,0.057
121,1,1,16,2,424,2.5238,0.0850,0.107
122,0,0,16,1,384,2.2857,0.0633,0.057
123,0,0,16,1,442,2.6310,0.0713,0.069
124,0,0,16,1,402,2.3929,0.0711,0.060
125,1,1,17,2,402,2.3929,0.0719,0.123
126,0,0,17,1,407,2.4226,0.0704,0.064
127,0,0,17,1,465,2.7679,0.0837,0.068
128,0,0,17,1,424,2.5238,0.0724,0.060
129,0,0,17,1,447,2.6607,0.0915,0.065
130,0,0,17,1,391,2.3274,0.0765,0.056
131,0,0,17,1,431,2.5655,0.0787,0.064
132,0,0,17,1,416,2.4762,0.0723,0.059
133,0,0,17,1,428,2.5476,0.0732,0.065
134,0,0,17,1,430,2.5595,0.0823,0.065
