seed,after_deadlock,after_dl_time,after_throughput,after_drained_clear,before_deadlock,before_dl_time,before_throughput,before_drained_clear
199000,0,192.00,2.0000,1,,,,
199001,0,193.00,2.1131,1,,,,
199002,0,193.00,1.9464,1,,,,
199003,0,192.00,1.8988,1,,,,
199004,0,193.00,1.8452,1,,,,
199005,0,192.00,1.8690,1,,,,
199006,0,192.00,1.9762,1,,,,
199007,0,192.00,2.0774,1,,,,
199008,0,193.00,1.8810,1,,,,
199009,0,192.00,1.9226,1,,,,
199010,0,193.00,1.9940,1,,,,
199011,0,192.00,2.1369,1,,,,
199012,0,193.00,2.0060,1,,,,
199013,0,193.00,1.9464,1,,,,
199014,0,192.00,2.0060,1,,,,
199015,0,193.00,1.9405,1,,,,
199016,0,192.00,1.8810,1,,,,
199017,0,193.00,2.0298,1,,,,
199018,0,192.00,2.0238,1,,,,
199019,0,193.00,2.0536,1,,,,
199020,0,192.00,2.0119,1,,,,
199021,0,192.00,1.8929,1,,,,
199022,0,193.00,2.1250,1,,,,
199023,0,192.00,2.0952,1,,,,
199024,0,192.00,1.8810,1,,,,
199025,0,192.00,2.1905,1,,,,
199026,0,193.00,2.0417,1,,,,
199027,0,193.00,2.0655,1,,,,
199028,0,192.00,2.1250,1,,,,
199029,0,193.00,2.0119,1,,,,
199030,0,192.00,1.8333,1,,,,
199031,0,192.00,2.1667,1,,,,
199032,0,192.00,1.9702,1,,,,
199033,0,192.00,2.1905,1,,,,
199034,0,192.00,1.9702,1,,,,
199035,0,193.00,2.0417,1,,,,
199036,0,193.00,2.1131,1,,,,
199037,0,192.00,2.0833,1,,,,
199038,0,192.00,2.0298,1,,,,
199039,0,192.00,2.0476,1,,,,
199040,0,192.00,2.0476,1,,,,
199041,0,193.00,2.1964,1,,,,
199042,0,192.00,1.9643,1,,,,
199043,0,193.00,2.1488,1,,,,
199044,0,192.00,2.1369,1,,,,
199045,0,193.00,1.9405,1,,,,
199046,0,192.00,2.0298,1,,,,
199047,0,192.00,1.8393,1,,,,
199048,0,192.00,1.9881,1,,,,
199049,0,193.00,1.9405,1,,,,
199050,0,192.00,1.9464,1,,,,
199051,0,193.00,2.0119,1,,,,
199052,0,193.00,2.1310,1,,,,
199053,0,192.00,2.0119,1,,,,
199054,0,192.00,1.8333,1,,,,
199055,0,193.00,2.0655,1,,,,
199056,0,193.00,1.7381,1,,,,
199057,0,192.00,2.1131,1,,,,
199058,0,193.00,1.9940,1,,,,
199059,0,193.00,1.9940,1,,,,
199060,0,193.00,2.1607,1,,,,
199061,0,193.00,2.1190,1,,,,
199062,0,193.00,2.0000,1,,,,
199063,0,193.00,2.1190,1,,,,
199064,0,192.00,2.0060,1,,,,
199065,0,192.00,2.0833,1,,,,
199066,0,192.00,2.1488,1,,,,
199067,0,193.00,2.1667,1,,,,
199068,0,192.00,1.9702,1,,,,
199069,0,193.00,1.9940,1,,,,
199070,0,193.00,1.9405,1,,,,
199071,0,193.00,1.9524,1,,,,
199072,0,192.00,2.1905,1,,,,
199073,0,193.00,1.9167,1,,,,
199074,0,192.00,1.9881,1,,,,
199075,0,193.00,1.8274,1,,,,
199076,0,192.00,1.9107,1,,,,
199077,0,192.00,1.8929,1,,,,
199078,0,192.00,2.1548,1,,,,
199079,0,192.00,1.9226,1,,,,
199080,0,193.00,1.9524,1,,,,
199081,0,192.00,2.0298,1,,,,
199082,0,193.00,1.8690,1,,,,
199083,0,192.00,2.1369,1,,,,
199084,0,193.00,1.9821,1,,,,
199085,0,192.00,2.0655,1,,,,
199086,0,192.00,2.0119,1,,,,
199087,0,192.00,2.2321,1,,,,
199088,0,193.00,1.9167,1,,,,
199089,0,193.00,2.0298,1,,,,
199090,0,192.00,1.8452,1,,,,
199091,0,192.00,2.1667,1,,,,
199092,0,192.00,1.8036,1,,,,
199093,0,192.00,1.9286,1,,,,
199094,0,192.00,1.9762,1,,,,
199095,0,193.00,2.0774,1,,,,
199096,0,193.00,2.0655,1,,,,
199097,0,192.00,1.9464,1,,,,
199098,0,192.00,1.8036,1,,,,
199099,0,192.00,2.0952,1,,,,
199100,0,192.00,2.1726,1,,,,
199101,0,193.00,2.0952,1,,,,
199102,0,192.00,2.0179,1,,,,
199103,0,192.00,1.9940,1,,,,
