seed,after_deadlock,after_dl_time,after_throughput,after_drained_clear,before_deadlock,before_dl_time,before_throughput,before_drained_clear
100000,0,195.00,5.8869,1,,,,
100001,0,198.00,6.0179,1,,,,
100002,0,195.00,6.0060,1,,,,
100003,0,196.00,5.7500,1,,,,
100004,1,168.00,4.9464,0,,,,
100005,0,196.00,6.0060,1,,,,
100006,0,198.00,6.1667,1,,,,
100007,0,198.00,6.0655,1,,,,
100008,0,196.00,5.7738,1,,,,
100009,0,196.00,5.8214,1,,,,
100010,1,12.00,0.0000,0,,,,
100011,1,109.00,2.9405,0,,,,
100012,0,196.00,6.0179,1,,,,
100013,1,31.00,0.2321,0,,,,
100014,0,200.00,6.0298,1,,,,
100015,0,194.00,5.7917,1,,,,
100016,0,196.00,6.0238,1,,,,
100017,0,194.00,6.2083,1,,,,
100018,0,197.00,6.0833,1,,,,
100019,0,195.00,5.8690,1,,,,
100020,0,195.00,6.1310,1,,,,
100021,1,139.00,3.9762,0,,,,
100022,0,196.00,5.7500,1,,,,
100023,0,196.00,5.8988,1,,,,
100024,1,127.00,3.6845,0,,,,
100025,0,196.00,6.0417,1,,,,
100026,0,196.00,5.9345,1,,,,
100027,0,195.00,5.7202,1,,,,
100028,0,195.00,6.1429,1,,,,
100029,0,194.00,6.0893,1,,,,
100030,0,195.00,5.7976,1,,,,
100031,0,195.00,6.2440,1,,,,
100032,0,193.00,5.8810,1,,,,
100033,0,195.00,5.9940,1,,,,
100034,0,194.00,6.0774,1,,,,
100035,0,195.00,5.8036,1,,,,
100036,1,78.00,1.6964,0,,,,
100037,0,194.00,6.1012,1,,,,
100038,0,195.00,6.0119,1,,,,
100039,0,196.00,5.8333,1,,,,
100040,0,195.00,5.4464,1,,,,
100041,0,196.00,5.9940,1,,,,
100042,0,194.00,6.1310,1,,,,
100043,0,194.00,5.9583,1,,,,
100044,0,196.00,5.9345,1,,,,
100045,0,196.00,6.1488,1,,,,
100046,0,195.00,6.0536,1,,,,
100047,1,162.00,4.9048,0,,,,
100048,0,196.00,5.8155,1,,,,
100049,1,60.00,1.2143,0,,,,
100050,1,67.00,1.5714,0,,,,
100051,0,198.00,6.1369,1,,,,
100052,0,196.00,6.1012,1,,,,
100053,0,195.00,5.9464,1,,,,
100054,1,10.00,0.0000,0,,,,
100055,1,77.00,1.8869,0,,,,
100056,0,195.00,5.5893,1,,,,
100057,1,107.00,2.8512,0,,,,
100058,0,195.00,5.9167,1,,,,
100059,0,195.00,5.6250,1,,,,
100060,0,197.00,5.8869,1,,,,
100061,0,199.00,6.3452,1,,,,
100062,1,90.00,2.3750,0,,,,
100063,0,198.00,6.2500,1,,,,
100064,1,55.00,1.0655,0,,,,
100065,0,196.00,6.1310,1,,,,
100066,0,195.00,6.0595,1,,,,
100067,0,195.00,5.9167,1,,,,
100068,1,97.00,2.6190,0,,,,
100069,1,10.00,0.0000,0,,,,
100070,1,175.00,5.1667,0,,,,
100071,0,195.00,5.9643,1,,,,
100072,0,194.00,5.9940,1,,,,
100073,0,195.00,6.1369,1,,,,
100074,1,181.00,5.4702,0,,,,
100075,1,57.00,1.1131,0,,,,
100076,0,198.00,6.0417,1,,,,
100077,0,195.00,6.1310,1,,,,
100078,0,195.00,5.8214,1,,,,
100079,1,57.00,1.0119,0,,,,
100080,0,197.00,6.0357,1,,,,
100081,0,195.00,5.9643,1,,,,
100082,0,195.00,6.1012,1,,,,
100083,0,195.00,5.8571,1,,,,
100084,0,200.00,6.0833,1,,,,
100085,0,194.00,5.6905,1,,,,
100086,0,195.00,5.6012,1,,,,
100087,0,196.00,6.0714,1,,,,
100088,0,198.00,5.6726,1,,,,
100089,1,88.00,2.2321,0,,,,
100090,1,119.00,3.4048,0,,,,
100091,0,203.00,6.2798,1,,,,
100092,0,195.00,5.9821,1,,,,
100093,1,143.00,4.2083,0,,,,
100094,0,196.00,5.8512,1,,,,
100095,0,194.00,5.8095,1,,,,
100096,0,195.00,5.9821,1,,,,
100097,0,196.00,6.1369,1,,,,
100098,1,102.00,2.8274,0,,,,
100099,0,194.00,5.7381,1,,,,
100100,0,196.00,5.9345,1,,,,
100101,0,194.00,5.5238,1,,,,
100102,1,45.00,0.7321,0,,,,
100103,0,197.00,5.9345,1,,,,
100104,0,194.00,6.0417,1,,,,
100105,0,195.00,5.5595,1,,,,
100106,0,195.00,5.8810,1,,,,
100107,0,196.00,5.8929,1,,,,
100108,0,196.00,5.8095,1,,,,
100109,0,195.00,5.9643,1,,,,
100110,0,194.00,5.7083,1,,,,
100111,0,195.00,5.8393,1,,,,
100112,0,196.00,5.9286,1,,,,
100113,0,197.00,5.8750,1,,,,
100114,1,168.00,4.7381,0,,,,
100115,0,201.00,6.1964,1,,,,
100116,0,197.00,6.0893,1,,,,
100117,0,196.00,5.7976,1,,,,
100118,0,197.00,5.9107,1,,,,
100119,0,196.00,6.2381,1,,,,
100120,0,196.00,6.0119,1,,,,
100121,0,197.00,6.1012,1,,,,
100122,0,196.00,6.2262,1,,,,
100123,0,197.00,6.0714,1,,,,
100124,0,196.00,5.9762,1,,,,
100125,0,196.00,5.8571,1,,,,
100126,1,176.00,5.6429,0,,,,
100127,0,195.00,6.1488,1,,,,
100128,0,194.00,5.9167,1,,,,
100129,0,194.00,6.0357,1,,,,
100130,0,195.00,6.1310,1,,,,
100131,0,194.00,5.8036,1,,,,
100132,0,195.00,6.0476,1,,,,
100133,0,197.00,5.7381,1,,,,
100134,0,196.00,6.0536,1,,,,
100135,0,195.00,5.6786,1,,,,
100136,0,195.00,5.7976,1,,,,
100137,0,195.00,5.5476,1,,,,
100138,0,195.00,5.7143,1,,,,
100139,1,102.00,2.7381,0,,,,
100140,1,140.00,4.1012,0,,,,
100141,0,196.00,5.9464,1,,,,
100142,0,197.00,5.7381,1,,,,
100143,0,195.00,6.0298,1,,,,
100144,0,195.00,5.7500,1,,,,
100145,0,197.00,6.0536,1,,,,
100146,0,195.00,5.9821,1,,,,
100147,0,195.00,6.1012,1,,,,
100148,0,201.00,6.0833,1,,,,
100149,0,195.00,5.9762,1,,,,
100150,0,195.00,5.8512,1,,,,
100151,0,195.00,5.5714,1,,,,
100152,0,199.00,6.1310,1,,,,
100153,1,97.00,2.5298,0,,,,
100154,0,195.00,6.1548,1,,,,
100155,0,195.00,5.7798,1,,,,
100156,0,196.00,5.7619,1,,,,
100157,0,197.00,5.8690,1,,,,
100158,0,196.00,5.9583,1,,,,
100159,0,199.00,6.0833,1,,,,
100160,0,196.00,5.6786,1,,,,
100161,0,195.00,5.7976,1,,,,
100162,0,195.00,5.7976,1,,,,
100163,0,195.00,6.0893,1,,,,
100164,0,196.00,6.1131,1,,,,
100165,0,195.00,6.0060,1,,,,
100166,0,196.00,5.9940,1,,,,
100167,0,200.00,6.1131,1,,,,
100168,0,200.00,5.8631,1,,,,
100169,0,195.00,5.7381,1,,,,
100170,0,194.00,5.9345,1,,,,
100171,0,197.00,6.0060,1,,,,
100172,0,195.00,5.9881,1,,,,
100173,0,195.00,5.8512,1,,,,
100174,0,195.00,6.1310,1,,,,
100175,1,79.00,1.9464,0,,,,
100176,0,197.00,6.1429,1,,,,
100177,0,195.00,6.2976,1,,,,
100178,0,195.00,6.1310,1,,,,
