seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,227,227,228,702,4.1786,0.497
2,0,0,227,1,708,4.2143,0.070
3,0,0,227,1,652,3.8810,0.060
4,0,0,227,1,654,3.8929,0.084
5,0,0,227,1,645,3.8393,0.078
6,0,0,227,1,671,3.9940,0.061
7,0,0,227,1,655,3.8988,0.057
8,0,0,227,1,651,3.8750,0.056
9,0,0,227,1,683,4.0655,0.066
10,0,0,227,1,708,4.2143,0.090
11,0,0,227,1,674,4.0119,0.074
12,0,0,227,1,700,4.1667,0.079
13,0,0,227,1,660,3.9286,0.084
14,0,0,227,1,642,3.8214,0.069
15,0,0,227,1,672,4.0000,0.065
16,0,0,227,1,707,4.2083,0.071
17,0,0,227,1,660,3.9286,0.065
18,0,0,227,1,699,4.1607,0.085
19,0,0,227,1,659,3.9226,0.056
20,0,0,227,1,594,3.5357,0.054
21,0,0,227,1,663,3.9464,0.060
22,0,0,227,1,651,3.8750,0.059
23,0,0,227,1,645,3.8393,0.063
24,0,0,227,1,685,4.0774,0.064
25,0,0,227,1,695,4.1369,0.067
26,0,0,227,1,695,4.1369,0.068
27,0,0,227,1,631,3.7560,0.073
28,0,0,227,1,681,4.0536,0.059
29,0,0,227,1,629,3.7440,0.052
30,0,0,227,1,692,4.1190,0.078
31,0,0,227,1,698,4.1548,0.062
32,0,0,227,1,734,4.3690,0.075
33,0,0,227,1,643,3.8274,0.081
34,0,0,227,1,654,3.8929,0.083
35,0,0,227,1,669,3.9821,0.057
36,0,0,227,1,681,4.0536,0.057
37,0,0,227,1,679,4.0417,0.060
38,0,0,227,1,630,3.7500,0.078
39,0,0,227,1,670,3.9881,0.058
40,0,0,227,1,675,4.0179,0.071
41,0,0,227,1,668,3.9762,0.061
42,0,0,227,1,666,3.9643,0.085
43,0,0,227,1,646,3.8452,0.054
44,0,0,227,1,670,3.9881,0.060
45,0,0,227,1,666,3.9643,0.058
46,0,0,227,1,671,3.9940,0.076
47,0,0,227,1,654,3.8929,0.055
48,0,0,227,1,675,4.0179,0.063
49,0,0,227,1,697,4.1488,0.063
50,0,0,227,1,622,3.7024,0.054
51,0,0,227,1,659,3.9226,0.057
52,0,0,227,1,660,3.9286,0.088
53,0,0,227,1,719,4.2798,0.072
54,0,0,227,1,638,3.7976,0.055
55,0,0,227,1,653,3.8869,0.057
56,0,0,227,1,671,3.9940,0.066
57,0,0,227,1,663,3.9464,0.057
58,0,0,227,1,671,3.9940,0.062
59,0,0,227,1,653,3.8869,0.059
60,0,0,227,1,684,4.0714,0.057
61,0,0,227,1,664,3.9524,0.055
62,0,0,227,1,636,3.7857,0.061
63,0,0,227,1,645,3.8393,0.054
64,0,0,227,1,662,3.9405,0.057
65,0,0,227,1,670,3.9881,0.060
66,0,0,227,1,665,3.9583,0.062
67,0,0,227,1,687,4.0893,0.065
68,0,0,227,1,639,3.8036,0.077
69,0,0,227,1,689,4.1012,0.059
70,0,0,227,1,658,3.9167,0.079
71,0,0,227,1,656,3.9048,0.058
72,0,0,227,1,649,3.8631,0.057
73,0,0,227,1,651,3.8750,0.055
74,0,0,227,1,644,3.8333,0.057
75,0,0,227,1,652,3.8810,0.059
76,0,0,227,1,666,3.9643,0.063
77,0,0,227,1,651,3.8750,0.063
78,0,0,227,1,699,4.1607,0.064
79,0,0,227,1,634,3.7738,0.062
80,0,0,227,1,686,4.0833,0.070
81,0,0,227,1,672,4.0000,0.064
82,0,0,227,1,674,4.0119,0.060
83,0,0,227,1,716,4.2619,0.087
84,0,0,227,1,687,4.0893,0.061
85,0,0,227,1,676,4.0238,0.059
86,0,0,227,1,668,3.9762,0.084
87,0,0,227,1,658,3.9167,0.060
88,0,0,227,1,710,4.2262,0.061
89,0,0,227,1,662,3.9405,0.063
90,0,0,227,1,656,3.9048,0.057
91,0,0,227,1,689,4.1012,0.060
92,0,0,227,1,675,4.0179,0.060
93,0,0,227,1,702,4.1786,0.062
94,0,0,227,1,669,3.9821,0.078
95,0,0,227,1,665,3.9583,0.056
96,0,0,227,1,651,3.8750,0.059
97,0,0,227,1,661,3.9345,0.060
98,0,0,227,1,636,3.7857,0.054
99,0,0,227,1,671,3.9940,0.063
100,0,0,227,1,675,4.0179,0.067
101,0,0,227,1,637,3.7917,0.057
