seed,deadlock_found,new_constraints,total_constraints,iterations,trains_per_hr,cpu_time
1,1,2000,2000,2000,0.0000,12.841
2,1,2000,4000,2000,0.0000,11.862
3,1,687,4687,688,3.8869,12.229
4,0,0,4687,1,3.8988,0.131
5,0,0,4687,1,3.8393,0.122
6,0,0,4687,1,4.0000,0.127
7,0,0,4687,1,3.8988,0.135
8,0,0,4687,1,3.8690,0.138
9,0,0,4687,1,4.0536,0.135
10,0,0,4687,1,4.2024,0.146
11,0,0,4687,1,4.0119,0.132
12,0,0,4687,1,4.1786,0.142
13,0,0,4687,1,3.9345,0.137
14,0,0,4687,1,3.8452,0.120
15,0,0,4687,1,4.0000,0.130
16,0,0,4687,1,4.2143,0.142
17,0,0,4687,1,3.8988,0.132
18,0,0,4687,1,4.1548,0.148
19,0,0,4687,1,3.9286,0.134
20,0,0,4687,1,3.5238,0.115
21,0,0,4687,1,3.9345,0.138
22,0,0,4687,1,3.8690,0.136
23,0,0,4687,1,3.8452,0.124
24,0,0,4687,1,4.0774,0.142
25,0,0,4687,1,4.1429,0.144
26,0,0,4687,1,4.1310,0.143
27,0,0,4687,1,3.7440,0.124
28,0,0,4687,1,4.0833,0.130
29,0,0,4687,1,3.7024,0.119
30,0,0,4687,1,4.0952,0.138
31,0,0,4687,1,4.1548,0.139
32,0,0,4687,1,4.3810,0.146
33,0,0,4687,1,3.8095,0.127
34,0,0,4687,1,3.9167,0.131
35,0,0,4687,1,3.9821,0.124
36,0,0,4687,1,4.0595,0.130
37,0,0,4687,1,4.0714,0.143
38,0,0,4687,1,3.7440,0.123
39,0,0,4687,1,4.0179,0.132
40,0,0,4687,1,4.0298,0.139
41,0,0,4687,1,3.9762,0.140
42,0,0,4687,1,3.9762,0.130
43,0,0,4687,1,3.8274,0.122
44,0,0,4687,1,3.9881,0.133
45,0,0,4687,1,3.9702,0.128
46,0,0,4687,1,3.9881,0.133
47,0,0,4687,1,3.8929,0.126
48,0,0,4687,1,4.0238,0.133
49,0,0,4687,1,4.1905,0.139
50,0,0,4687,1,3.7321,0.120
51,0,0,4687,1,3.9226,0.133
52,0,0,4687,1,3.9405,0.134
53,0,0,4687,1,4.2738,0.148
54,0,0,4687,1,3.8155,0.121
55,0,0,4687,1,3.9048,0.119
56,0,0,4687,1,3.9881,0.128
57,0,0,4687,1,3.9524,0.123
58,0,0,4687,1,4.0000,0.132
59,0,0,4687,1,3.8869,0.126
60,0,0,4687,1,4.0595,0.133
61,0,0,4687,1,3.9583,0.129
62,0,0,4687,1,3.8036,0.125
63,0,0,4687,1,3.8690,0.120
64,0,0,4687,1,3.9405,0.133
65,0,0,4687,1,4.0179,0.136
66,0,0,4687,1,3.9405,0.139
67,0,0,4687,1,4.0893,0.133
68,0,0,4687,1,3.8214,0.123
69,0,0,4687,1,4.0774,0.145
70,0,0,4687,1,3.9286,0.138
71,0,0,4687,1,3.9048,0.137
72,0,0,4687,1,3.8571,0.129
73,0,0,4687,1,3.8750,0.128
74,0,0,4687,1,3.8452,0.128
75,0,0,4687,1,3.8869,0.163
76,0,0,4687,1,3.9583,0.134
77,0,0,4687,1,3.8810,0.128
78,0,0,4687,1,4.1607,0.138
79,0,0,4687,1,3.7857,0.116
80,0,0,4687,1,4.0952,0.136
81,0,0,4687,1,4.0179,0.131
82,0,0,4687,1,4.0179,0.140
83,0,0,4687,1,4.2500,0.155
84,0,0,4687,1,4.1071,0.140
85,0,0,4687,1,4.0179,0.134
86,0,0,4687,1,3.9583,0.131
87,0,0,4687,1,3.9048,0.132
88,0,0,4687,1,4.2321,0.140
89,0,0,4687,1,3.9524,0.133
90,0,0,4687,1,3.9107,0.137
91,0,0,4687,1,4.0833,0.139
92,0,0,4687,1,4.0119,0.134
93,0,0,4687,1,4.1667,0.141
94,0,0,4687,1,3.9821,0.132
95,0,0,4687,1,3.9643,0.129
96,0,0,4687,1,3.8690,0.131
97,0,0,4687,1,3.9286,0.138
98,0,0,4687,1,3.7798,0.122
99,0,0,4687,1,3.9881,0.137
100,0,0,4687,1,4.0417,0.137
101,0,0,4687,1,3.7798,0.125
102,0,0,4687,1,3.9524,0.133
103,0,0,4687,1,4.1369,0.140
