seed,deadlock_found,new_constraints,total_constraints,iterations,trains_per_hr,cpu_time
1,1,14,14,12,5.2440,1.365
2,1,6,20,6,5.2738,0.595
3,1,2,22,3,4.8750,0.353
4,1,4,26,4,4.8036,0.261
5,1,24,50,19,4.8452,1.448
6,1,4,54,5,4.9643,0.496
7,1,7,61,8,4.9107,0.454
8,0,0,61,1,4.9524,0.165
9,1,1,62,2,5.0476,0.173
10,1,1,63,2,5.1012,0.351
11,1,6,69,7,5.0833,0.445
12,0,0,69,1,5.1190,0.173
13,0,0,69,1,4.9107,0.161
14,0,0,69,1,4.7679,0.151
15,0,0,69,1,5.0179,0.167
16,1,2,71,3,5.1071,0.309
17,0,0,71,1,4.9702,0.187
18,1,1,72,2,5.2500,0.258
19,0,0,72,1,4.8631,0.173
20,1,1,73,2,4.5952,0.248
21,1,1,74,2,4.8333,0.188
22,1,1,75,2,4.7619,0.254
23,1,2,77,3,4.8512,0.423
24,1,1,78,2,5.0655,0.317
25,1,1,79,2,5.2619,0.300
26,1,1,80,2,4.9762,0.211
27,0,0,80,1,4.8512,0.161
28,1,1,81,2,4.9048,0.181
29,0,0,81,1,4.6786,0.142
30,0,0,81,1,5.0893,0.171
31,0,0,81,1,5.1607,0.177
32,0,0,81,1,5.3750,0.182
33,0,0,81,1,4.8214,0.151
34,0,0,81,1,4.7321,0.148
35,0,0,81,1,4.9940,0.158
36,1,1,82,2,5.1250,0.198
37,1,1,83,2,5.0119,0.264
38,0,0,83,1,4.7202,0.153
39,0,0,83,1,5.0060,0.168
40,0,0,83,1,5.1190,0.173
41,1,221,304,221,4.9048,5.805
42,0,0,304,1,4.9524,0.174
43,0,0,304,1,4.8869,0.166
44,0,0,304,1,5.0833,0.183
45,0,0,304,1,5.0238,0.179
46,0,0,304,1,4.9702,0.178
47,0,0,304,1,4.8393,0.182
48,0,0,304,1,5.1250,0.182
49,1,145,449,146,5.2321,24.662
50,0,0,449,1,4.6964,0.161
51,0,0,449,1,5.1071,0.188
52,0,0,449,1,4.9464,0.170
53,1,6,455,7,5.3333,0.641
54,0,0,455,1,4.8333,0.169
55,1,1,456,2,4.8214,0.324
56,0,0,456,1,5.1667,0.192
57,0,0,456,1,4.7917,0.169
58,0,0,456,1,4.9583,0.175
59,1,1,457,2,4.9643,0.318
60,0,0,457,1,5.1012,0.188
61,0,0,457,1,5.0952,0.195
62,1,1,458,2,4.7560,0.342
63,0,0,458,1,4.7798,0.161
64,0,0,458,1,4.8571,0.188
65,0,0,458,1,5.1012,0.196
66,0,0,458,1,4.9583,0.191
67,0,0,458,1,5.1190,0.190
68,0,0,458,1,4.8214,0.178
69,0,0,458,1,5.1369,0.199
70,1,1,459,2,4.9583,0.370
71,0,0,459,1,4.9167,0.191
72,0,0,459,1,4.7619,0.168
73,0,0,459,1,4.8274,0.177
74,0,0,459,1,4.8214,0.175
75,0,0,459,1,4.8869,0.180
76,0,0,459,1,5.0952,0.192
77,0,0,459,1,4.8214,0.173
78,1,2,461,3,5.1012,0.330
79,0,0,461,1,4.7024,0.164
80,1,4,465,5,4.9940,0.514
81,0,0,465,1,4.9167,0.175
82,0,0,465,1,5.0000,0.186
83,0,0,465,1,5.3333,0.201
84,0,0,465,1,5.1488,0.196
85,0,0,465,1,5.0833,0.197
86,0,0,465,1,4.8155,0.165
87,0,0,465,1,4.7738,0.168
88,1,3,468,4,5.2738,0.708
89,0,0,468,1,4.8750,0.172
90,0,0,468,1,4.9226,0.182
91,0,0,468,1,5.0714,0.185
92,0,0,468,1,5.0119,0.182
93,0,0,468,1,5.2440,0.204
94,0,0,468,1,5.2083,0.196
95,1,4,472,5,4.8929,0.743
96,0,0,472,1,4.9286,0.168
97,1,39,511,36,4.9762,0.604
98,0,0,511,1,4.7143,0.176
99,0,0,511,1,4.9821,0.186
100,0,0,511,1,4.9405,0.187
101,0,0,511,1,4.7262,0.168
102,0,0,511,1,4.7976,0.172
103,0,0,511,1,5.0119,0.179
104,1,1,512,2,5.4464,0.369
105,0,0,512,1,4.8274,0.168
106,0,0,512,1,4.7738,0.177
107,0,0,512,1,4.8452,0.182
108,0,0,512,1,5.0298,0.195
109,1,7,519,8,5.3333,1.285
110,0,0,519,1,4.9464,0.174
111,0,0,519,1,5.0774,0.190
112,0,0,519,1,5.0476,0.184
113,1,1,520,2,5.0833,0.376
114,0,0,520,1,5.1190,0.200
115,0,0,520,1,5.1548,0.189
116,0,0,520,1,5.1190,0.205
117,0,0,520,1,5.2500,0.201
118,1,2,522,3,4.9881,0.384
119,1,19,541,20,5.1012,2.939
120,0,0,541,1,4.7500,0.180
121,0,0,541,1,5.1369,0.209
122,1,3,544,4,4.8690,0.528
123,0,0,544,1,4.9048,0.182
124,0,0,544,1,4.8869,0.174
125,0,0,544,1,4.9107,0.183
126,0,0,544,1,4.8929,0.178
127,0,0,544,1,5.4286,0.214
128,0,0,544,1,5.1548,0.205
129,1,3,547,4,5.2202,0.658
130,0,0,547,1,4.8452,0.181
131,0,0,547,1,5.0000,0.183
