seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,5,5,6,718,4.2738,0.712
2,0,0,5,1,709,4.2202,0.651
3,0,0,5,1,681,4.0536,0.445
4,0,0,5,1,676,4.0238,0.453
5,0,0,5,1,669,3.9821,0.369
6,0,0,5,1,701,4.1726,0.350
7,0,0,5,1,685,4.0774,0.299
8,0,0,5,1,679,4.0417,0.308
9,0,0,5,1,704,4.1905,0.384
10,0,0,5,1,719,4.2798,0.474
11,0,0,5,1,705,4.1964,0.428
12,0,0,5,1,721,4.2917,0.473
13,0,0,5,1,666,3.9643,0.325
14,0,0,5,1,674,4.0119,0.403
15,0,0,5,1,690,4.1071,0.512
16,0,0,5,1,704,4.1905,0.432
17,0,0,5,1,684,4.0714,0.499
18,0,0,5,1,702,4.1786,0.514
19,0,0,5,1,693,4.1250,0.489
20,0,0,5,1,629,3.7440,0.380
21,0,0,5,1,697,4.1488,0.439
22,0,0,5,1,676,4.0238,0.358
23,0,0,5,1,671,3.9940,0.359
24,0,0,5,1,684,4.0714,0.446
25,0,0,5,1,719,4.2798,0.366
26,0,0,5,1,720,4.2857,0.301
27,0,0,5,1,667,3.9702,0.507
28,0,0,5,1,702,4.1786,0.488
29,0,0,5,1,646,3.8452,0.474
30,0,0,5,1,698,4.1548,0.432
31,0,0,5,1,703,4.1845,0.516
32,0,0,5,1,728,4.3333,0.445
33,0,0,5,1,668,3.9762,0.383
34,0,0,5,1,682,4.0595,0.453
35,0,0,5,1,696,4.1429,0.345
36,0,0,5,1,683,4.0655,0.598
37,0,0,5,1,709,4.2202,0.338
38,0,0,5,1,664,3.9524,0.436
39,0,0,5,1,695,4.1369,0.444
40,0,0,5,1,701,4.1726,0.421
41,0,0,5,1,705,4.1964,0.459
42,0,0,5,1,702,4.1786,0.616
43,0,0,5,1,668,3.9762,0.622
44,0,0,5,1,704,4.1905,0.874
45,0,0,5,1,672,4.0000,0.490
46,0,0,5,1,704,4.1905,0.636
47,0,0,5,1,684,4.0714,0.530
48,0,0,5,1,707,4.2083,0.460
49,0,0,5,1,699,4.1607,0.473
50,0,0,5,1,653,3.8869,0.432
51,0,0,5,1,685,4.0774,0.482
52,0,0,5,1,696,4.1429,0.629
53,0,0,5,1,710,4.2262,0.544
54,0,0,5,1,667,3.9702,0.489
55,0,0,5,1,674,4.0119,0.474
56,0,0,5,1,683,4.0655,0.572
57,0,0,5,1,691,4.1131,0.598
58,0,0,5,1,688,4.0952,0.455
59,0,0,5,1,655,3.8988,0.505
60,0,0,5,1,704,4.1905,0.529
61,0,0,5,1,688,4.0952,0.427
62,0,0,5,1,688,4.0952,0.420
63,0,0,5,1,672,4.0000,0.413
64,0,0,5,1,690,4.1071,0.485
65,0,0,5,1,688,4.0952,0.606
66,0,0,5,1,707,4.2083,0.452
67,0,0,5,1,713,4.2440,0.359
68,0,0,5,1,673,4.0060,0.473
69,0,0,5,1,696,4.1429,0.379
70,0,0,5,1,687,4.0893,0.405
71,0,0,5,1,689,4.1012,0.450
72,0,0,5,1,677,4.0298,0.439
73,0,0,5,1,683,4.0655,0.414
74,0,0,5,1,672,4.0000,0.334
75,0,0,5,1,687,4.0893,0.430
76,0,0,5,1,682,4.0595,0.448
77,0,0,5,1,686,4.0833,0.489
78,0,0,5,1,693,4.1250,0.412
79,0,0,5,1,660,3.9286,0.401
80,0,0,5,1,697,4.1488,0.440
81,0,0,5,1,710,4.2262,0.375
82,0,0,5,1,700,4.1667,0.389
83,0,0,5,1,712,4.2381,0.432
84,0,0,5,1,705,4.1964,0.386
85,0,0,5,1,701,4.1726,0.374
86,0,0,5,1,673,4.0060,0.348
87,0,0,5,1,686,4.0833,0.360
88,0,0,5,1,703,4.1845,0.489
89,0,0,5,1,687,4.0893,0.410
90,0,0,5,1,693,4.1250,0.459
91,0,0,5,1,693,4.1250,0.400
92,0,0,5,1,706,4.2024,0.504
93,0,0,5,1,713,4.2440,0.453
94,0,0,5,1,671,3.9940,0.369
95,0,0,5,1,688,4.0952,0.370
96,0,0,5,1,680,4.0476,0.353
97,0,0,5,1,684,4.0714,0.348
98,0,0,5,1,674,4.0119,0.274
99,0,0,5,1,671,3.9940,0.282
100,0,0,5,1,710,4.2262,0.302
101,0,0,5,1,670,3.9881,0.264
