constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id,min_length,max_length
dl_0,1,,,,,
dl_0,31,Gowrie_exit,31,26,0.44,0
dl_0,35,Wyreema_exit,35,28,0.44,0
dl_1,1,,,,,
dl_1,28,Gowrie_exit,28,23,0.44,0
dl_1,35,exit_to_Brisbane,35,28,0.44,0
dl_2,2,,,,,
dl_2,24,Gowrie_exit,24,20,0.44,0
dl_2,26,exit_to_Brisbane,26,20,0.44,0
dl_2,25,exit_to_Brisbane,25,20,0.44,0
dl_3,2,,,,,
dl_3,24,exit_to_Brisbane,24,19,0.44,0
dl_3,23,Gowrie_exit,23,19,0.44,0
dl_3,22,Wyreema_exit,22,19,0.44,0
dl_4,3,,,,,
dl_4,26,Gowrie_exit,26,21,0.44,0
dl_4,25,exit_to_Brisbane,25,20,0.44,0
dl_4,27,exit_to_Brisbane,27,21,0.44,0
dl_4,24,Wyreema_exit,24,20,0.44,0
dl_5,4,,,,,
dl_5,24,exit_to_Brisbane,24,19,0.44,0
dl_5,23,exit_to_Brisbane,23,17,0.44,0
dl_5,22,Wyreema_exit,22,19,0.44,0
dl_5,21,Wyreema_exit,22,19,0.44,0
dl_5,20,Gowrie_exit,20,17,0.44,0
dl_6,1,,,,,
dl_6,35,Wyreema_exit,35,28,0.44,0
dl_6,188,Gowrie_exit,188,147,0.44,0
dl_7,6,,,,,
dl_7,26,Gowrie_exit,26,21,0.44,0
dl_7,25,exit_to_Brisbane,25,20,0.44,0
dl_7,27,exit_to_Brisbane,27,21,0.44,0
dl_7,23,exit_to_Brisbane,23,17,0.44,0
dl_7,22,Wyreema_exit,22,19,0.44,0
dl_7,21,Wyreema_exit,22,19,0.44,0
dl_7,20,Gowrie_exit,20,17,0.44,0
dl_8,6,,,,,
dl_8,24,exit_to_Brisbane,24,19,0.44,0
dl_8,20,Gowrie_exit,20,17,0.44,0
dl_8,22,Wyreema_exit,22,19,0.44,0
dl_8,26,Gowrie_exit,26,21,0.44,0
dl_8,25,exit_to_Brisbane,25,20,0.44,0
dl_8,27,exit_to_Brisbane,27,21,0.44,0
dl_8,21,Wyreema_exit,22,19,0.44,0
dl_9,3,,,,,
dl_9,26,Gowrie_exit,26,21,0.44,0
dl_9,25,exit_to_Brisbane,25,20,0.44,0
dl_9,24,Wyreema_exit,24,20,0.44,0
dl_9,35,exit_to_Brisbane,35,28,0.44,0
dl_10,6,,,,,
dl_10,26,Gowrie_exit,26,21,0.44,0
dl_10,25,exit_to_Brisbane,25,20,0.44,0
dl_10,23,exit_to_Brisbane,23,17,0.44,0
dl_10,22,Wyreema_exit,22,19,0.44,0
dl_10,21,Wyreema_exit,22,19,0.44,0
dl_10,20,Gowrie_exit,20,17,0.44,0
dl_10,35,exit_to_Brisbane,35,28,0.44,0
dl_11,6,,,,,
dl_11,24,exit_to_Brisbane,24,19,0.44,0
dl_11,20,Gowrie_exit,20,17,0.44,0
dl_11,22,Wyreema_exit,22,19,0.44,0
dl_11,26,Gowrie_exit,26,21,0.44,0
dl_11,25,exit_to_Brisbane,25,20,0.44,0
dl_11,21,Wyreema_exit,22,19,0.44,0
dl_11,35,exit_to_Brisbane,35,28,0.44,0
dl_12,2,,,,,
dl_12,26,Gowrie_exit,26,21,0.44,0
dl_12,25,Wyreema_exit,25,21,0.44,0
dl_12,27,exit_to_Brisbane,27,21,0.44,0
dl_13,3,,,,,
dl_13,27,exit_to_Brisbane,27,21,0.44,0
dl_13,26,Gowrie_exit,26,21,0.44,0
dl_13,24,Wyreema_exit,24,20,0.44,0
dl_13,35,exit_to_Brisbane,35,28,0.44,0
dl_14,6,,,,,
dl_14,27,exit_to_Brisbane,27,21,0.44,0
dl_14,26,Gowrie_exit,26,21,0.44,0
dl_14,35,exit_to_Brisbane,35,28,0.44,0
dl_14,23,exit_to_Brisbane,23,17,0.44,0
dl_14,22,Wyreema_exit,22,19,0.44,0
dl_14,21,Wyreema_exit,22,19,0.44,0
dl_14,20,Gowrie_exit,20,17,0.44,0
dl_15,6,,,,,
dl_15,27,exit_to_Brisbane,27,21,0.44,0
dl_15,24,exit_to_Brisbane,24,19,0.44,0
dl_15,20,Gowrie_exit,20,17,0.44,0
dl_15,22,Wyreema_exit,22,19,0.44,0
dl_15,26,Gowrie_exit,26,21,0.44,0
dl_15,35,exit_to_Brisbane,35,28,0.44,0
dl_15,21,Wyreema_exit,22,19,0.44,0
dl_16,3,,,,,
dl_16,20,exit_to_Brisbane,20,16,0.44,0
dl_16,19,exit_to_Brisbane,19,15,0.44,0
dl_16,18,Gowrie_exit,18,16,0.44,0
dl_16,17,Wyreema_exit,17,15,0.44,0
dl_17,9,,,,,
dl_17,24,exit_to_Brisbane,24,19,0.44,0
dl_17,23,exit_to_Brisbane,23,17,0.44,0
dl_17,22,Wyreema_exit,22,19,0.44,0
dl_17,21,Wyreema_exit,22,19,0.44,0
dl_17,19,exit_to_Brisbane,19,15,0.44,0
dl_17,18,Gowrie_exit,18,16,0.44,0
dl_17,17,Wyreema_exit,17,15,0.44,0
dl_17,27,exit_to_Brisbane,27,21,0.44,0
dl_17,26,Gowrie_exit,26,21,0.44,0
dl_17,25,exit_to_Brisbane,25,20,0.44,0
dl_18,9,,,,,
dl_18,24,exit_to_Brisbane,24,19,0.44,0
dl_18,23,exit_to_Brisbane,23,17,0.44,0
dl_18,22,Wyreema_exit,22,19,0.44,0
dl_18,21,Wyreema_exit,22,19,0.44,0
dl_18,19,exit_to_Brisbane,19,15,0.44,0
dl_18,18,Gowrie_exit,18,16,0.44,0
dl_18,17,Wyreema_exit,17,15,0.44,0
dl_18,35,exit_to_Brisbane,35,28,0.44,0
dl_18,26,Gowrie_exit,26,21,0.44,0
dl_18,25,exit_to_Brisbane,25,20,0.44,0
dl_19,9,,,,,
dl_19,24,exit_to_Brisbane,24,19,0.44,0
dl_19,23,exit_to_Brisbane,23,17,0.44,0
dl_19,22,Wyreema_exit,22,19,0.44,0
dl_19,21,Wyreema_exit,22,19,0.44,0
dl_19,19,exit_to_Brisbane,19,15,0.44,0
dl_19,18,Gowrie_exit,18,16,0.44,0
dl_19,17,Wyreema_exit,17,15,0.44,0
dl_19,26,Gowrie_exit,26,21,0.44,0
dl_19,35,exit_to_Brisbane,35,28,0.44,0
dl_19,27,exit_to_Brisbane,27,21,0.44,0
dl_20,9,,,,,
dl_20,26,Gowrie_exit,26,21,0.44,0
dl_20,25,exit_to_Brisbane,25,20,0.44,0
dl_20,27,exit_to_Brisbane,27,21,0.44,0
dl_20,23,exit_to_Brisbane,23,17,0.44,0
dl_20,22,Wyreema_exit,22,19,0.44,0
dl_20,21,Wyreema_exit,22,19,0.44,0
dl_20,19,exit_to_Brisbane,19,15,0.44,0
dl_20,18,Gowrie_exit,18,16,0.44,0
dl_20,17,Wyreema_exit,17,15,0.44,0
dl_20,35,exit_to_Brisbane,35,28,0.44,0
dl_21,6,,,,,
dl_21,24,exit_to_Brisbane,24,19,0.44,0
dl_21,23,exit_to_Brisbane,23,17,0.44,0
dl_21,22,Wyreema_exit,22,19,0.44,0
dl_21,21,Wyreema_exit,22,19,0.44,0
dl_21,19,exit_to_Brisbane,19,15,0.44,0
dl_21,18,Gowrie_exit,18,16,0.44,0
dl_21,17,Wyreema_exit,17,15,0.44,0
dl_22,2,,,,,
dl_22,157,Gowrie_exit,157,119,0.44,0
dl_22,159,exit_to_Brisbane,159,119,0.44,0
dl_22,158,exit_to_Brisbane,158,119,0.44,0
dl_23,8,,,,,
dl_23,26,Gowrie_exit,26,21,0.44,0
dl_23,25,exit_to_Brisbane,25,20,0.44,0
dl_23,27,exit_to_Brisbane,27,21,0.44,0
dl_23,23,exit_to_Brisbane,23,17,0.44,0
dl_23,22,Wyreema_exit,22,19,0.44,0
dl_23,21,Wyreema_exit,22,19,0.44,0
dl_23,19,exit_to_Brisbane,19,15,0.44,0
dl_23,18,Gowrie_exit,18,16,0.44,0
dl_23,17,Wyreema_exit,17,15,0.44,0
dl_24,2,,,,,
dl_24,35,Gowrie_exit,35,29,0.44,0
