seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,2045,2045,2000,140,4.2424,494.889
2,1,2013,4058,2000,417,4.1287,1606.870
3,1,619,4677,620,678,4.0357,920.539
4,1,2001,6678,2000,29,3.6250,2061.159
5,1,2001,8679,2000,549,3.9214,5141.614
6,1,2008,10687,2000,209,4.0980,5000.103
7,1,2001,12688,2000,641,4.0062,37914.957
8,1,2000,14688,2000,15,3.0000,2964.327
9,1,2000,16688,2000,314,4.0256,11520.644
10,1,2000,18688,2000,120,4.1379,7368.814
11,1,2004,20692,2000,213,4.0189,11509.942
12,1,2000,22692,2000,234,4.1786,11682.521
13,1,2001,24693,2000,491,3.9919,13572.834
14,1,2001,26694,2000,84,4.0000,5659.773
