seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,5,5,6,718,4.2738,0.091
2,0,0,5,1,709,4.2202,0.072
3,0,0,5,1,681,4.0536,0.065
4,0,0,5,1,676,4.0238,0.062
5,0,0,5,1,669,3.9821,0.064
6,0,0,5,1,701,4.1726,0.067
7,0,0,5,1,685,4.0774,0.063
8,0,0,5,1,679,4.0417,0.065
9,0,0,5,1,704,4.1905,0.070
10,0,0,5,1,719,4.2798,0.070
11,0,0,5,1,705,4.1964,0.064
12,0,0,5,1,721,4.2917,0.069
13,0,0,5,1,666,3.9643,0.064
14,0,0,5,1,674,4.0119,0.063
15,0,0,5,1,690,4.1071,0.069
16,0,0,5,1,704,4.1905,0.068
17,0,0,5,1,684,4.0714,0.066
18,0,0,5,1,702,4.1786,0.069
19,0,0,5,1,693,4.1250,0.064
20,0,0,5,1,629,3.7440,0.068
21,0,0,5,1,697,4.1488,0.063
22,0,0,5,1,676,4.0238,0.060
23,0,0,5,1,671,3.9940,0.062
24,0,0,5,1,684,4.0714,0.065
25,0,0,5,1,719,4.2798,0.069
26,0,0,5,1,720,4.2857,0.068
27,0,0,5,1,667,3.9702,0.062
28,0,0,5,1,702,4.1786,0.063
29,0,0,5,1,646,3.8452,0.058
30,0,0,5,1,698,4.1548,0.067
31,0,0,5,1,703,4.1845,0.068
32,0,0,5,1,728,4.3333,0.070
33,0,0,5,1,668,3.9762,0.058
34,0,0,5,1,682,4.0595,0.061
35,0,0,5,1,696,4.1429,0.063
36,0,0,5,1,683,4.0655,0.065
37,0,0,5,1,709,4.2202,0.068
38,0,0,5,1,664,3.9524,0.060
39,0,0,5,1,695,4.1369,0.067
40,0,0,5,1,701,4.1726,0.069
41,0,0,5,1,705,4.1964,0.066
42,0,0,5,1,702,4.1786,0.065
43,0,0,5,1,668,3.9762,0.063
44,0,0,5,1,704,4.1905,0.067
45,0,0,5,1,672,4.0000,0.067
46,0,0,5,1,704,4.1905,0.067
47,0,0,5,1,684,4.0714,0.064
48,0,0,5,1,707,4.2083,0.068
49,0,0,5,1,699,4.1607,0.067
50,0,0,5,1,653,3.8869,0.061
51,0,0,5,1,685,4.0774,0.066
52,0,0,5,1,696,4.1429,0.068
53,0,0,5,1,710,4.2262,0.073
54,0,0,5,1,667,3.9702,0.061
55,0,0,5,1,674,4.0119,0.062
56,0,0,5,1,683,4.0655,0.066
57,0,0,5,1,691,4.1131,0.066
58,0,0,5,1,688,4.0952,0.063
59,0,0,5,1,655,3.8988,0.065
60,0,0,5,1,704,4.1905,0.068
61,0,0,5,1,688,4.0952,0.063
62,0,0,5,1,688,4.0952,0.066
63,0,0,5,1,672,4.0000,0.060
64,0,0,5,1,690,4.1071,0.064
65,0,0,5,1,688,4.0952,0.070
66,0,0,5,1,707,4.2083,0.067
67,0,0,5,1,713,4.2440,0.065
68,0,0,5,1,673,4.0060,0.063
69,0,0,5,1,696,4.1429,0.068
70,0,0,5,1,687,4.0893,0.067
71,0,0,5,1,689,4.1012,0.067
72,0,0,5,1,677,4.0298,0.064
73,0,0,5,1,683,4.0655,0.064
74,0,0,5,1,672,4.0000,0.063
75,0,0,5,1,687,4.0893,0.065
76,0,0,5,1,682,4.0595,0.064
77,0,0,5,1,686,4.0833,0.064
78,0,0,5,1,693,4.1250,0.069
79,0,0,5,1,660,3.9286,0.061
80,0,0,5,1,697,4.1488,0.067
81,0,0,5,1,710,4.2262,0.070
82,0,0,5,1,700,4.1667,0.067
83,0,0,5,1,712,4.2381,0.072
84,0,0,5,1,705,4.1964,0.070
85,0,0,5,1,701,4.1726,0.068
86,0,0,5,1,673,4.0060,0.066
87,0,0,5,1,686,4.0833,0.064
88,0,0,5,1,703,4.1845,0.071
89,0,0,5,1,687,4.0893,0.065
90,0,0,5,1,693,4.1250,0.068
91,0,0,5,1,693,4.1250,0.066
92,0,0,5,1,706,4.2024,0.068
93,0,0,5,1,713,4.2440,0.071
94,0,0,5,1,671,3.9940,0.066
95,0,0,5,1,688,4.0952,0.065
96,0,0,5,1,680,4.0476,0.066
97,0,0,5,1,684,4.0714,0.070
98,0,0,5,1,674,4.0119,0.062
99,0,0,5,1,671,3.9940,0.067
100,0,0,5,1,710,4.2262,0.068
101,0,0,5,1,670,3.9881,0.066
