seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
1,1,2043,2043,2000,318,1.8929,85.074
2,1,430,2473,431,668,3.9762,16.434
3,1,40,2513,41,609,3.6250,1.115
4,1,82,2595,83,623,3.7083,3.578
5,1,2002,4597,2000,247,1.4702,184.430
6,1,124,4721,125,644,3.8333,14.416
7,1,88,4809,89,619,3.6845,15.212
8,1,2001,6810,2000,0,0.0000,74.599
9,1,182,6992,183,633,3.7679,48.624
10,1,2000,8992,2000,120,0.7143,319.519
11,1,2002,10994,2000,126,0.7500,364.025
12,1,1503,12497,1497,677,4.0298,590.900
13,1,931,13428,931,629,3.7440,558.281
14,1,4,13432,5,619,3.6845,1.825
15,1,876,14308,876,619,3.6845,527.619
16,1,333,14641,334,669,3.9821,161.036
17,1,294,14935,288,610,3.6310,125.415
18,1,2000,16935,2000,487,2.8988,1365.404
19,1,329,17264,330,632,3.7619,95.803
20,1,26,17290,27,563,3.3512,4.765
21,1,10,17300,11,638,3.7976,2.142
22,1,57,17357,58,625,3.7202,42.370
23,1,1091,18448,1092,628,3.7381,731.933
24,1,2000,20448,2000,426,2.5357,1082.332
